workerid,proliferate.condition,about,accent,age,american,comments,education,gender,income,language,otherParty,party,politics,race_asian,race_black,race_hawaiian,race_latino,race_native,race_otherRaceCheck,race_otherRaceText,race_white,state,state1year,whichAccent,error
4146,default,"people's ideas of the relationship between age, gender, and location to political beliefs",No,25,Yes,"I would replace ""...didn't say that..."" with ""...didn't mention...""",4,Female,1,none,,Dem,0.28,0,0,0,0,0,0,,1,NY,['NY'],,
4052,default,,No,45,Yes,,3,Female,4,,,Dem,0.32,0,1,0,0,0,0,,0,FL,['FL'],,
4065,default,People's beliefs about others political views and the stereotypes around them.  ,No,21,Yes,,2,Female,2,,,Dem,0.17,0,0,0,0,0,0,,1,AL,['AL'],,
4275,default,"not sure, impressions of people?",No,18,Yes,,2,Male,2,bangla,,Dem,0.38,1,0,0,0,0,0,,0,NY,,,
4126,default,Whether we change our opinions of what a person believes after we hear them make ambiguous statements?,No,45,Yes,,3,Female,1,none,,Dem,0.32,0,0,0,0,0,0,,1,NC,"['IL', 'NY', 'NC', 'VA']",,
4208,default,Perception of people that don't believe the same as you politically,Yes,36,Yes,,2,Female,1,NA,,Dem,0.04,0,0,0,0,0,0,,1,VT,"['VT', 'WA']",Vermont/New England (west coasters usually notice it),
4251,default,"How people judge others based on location, race, gender, etc.",No,25,Yes,N/A,3,Other,0,N/A,,Dem,0,1,0,1,0,0,0,,1,TX,['TX'],N/A,
4349,default,,No,31,Yes,,4,Male,7,,,Rep,0.66,0,0,0,0,0,0,,1,CA,['CA'],,
4164,default,Political Stereotypes,No,23,Yes,,2,Female,2,,I gave up,Other,0.49,0,0,0,1,0,0,,1,TX,['TX'],,
4118,default,perceptions of political affiliation based on age race gender and location,Yes,34,Yes,,3,Female,3,,,Dem,0.06,0,0,0,0,0,0,,1,FL,"['FL', 'NY', 'PA']",Long Island/NY,
4047,default,Judgement,Yes,21,Yes,,1,Female,2,,Independent,Other,0.5,0,0,0,0,0,0,,1,WV,,Southern,
4170,default,perceptions of political beliefs based on physical appearance?,Yes,36,Yes,,4,Female,2,none,,Lib,0.5,0,0,0,0,0,0,,1,NC,"['NC', 'SC']",southern ,
4312,default,bias,No,54,Yes,none,3,Male,5,none,,Lib,0.46,0,0,0,0,0,0,,1,MN,"['MI', 'MN', 'OH', 'WI']",,
4207,default,It was about gauging political opinions on profiles of people,No,20,Yes,,2,Male,6,N/A,,Green,0.5,1,0,0,0,0,0,,0,CA,['CA'],,
4128,default,Perceptions of other people,No,34,Yes,,3,Female,3,N/A,,Dem,0.12,0,0,0,0,0,0,,1,IL,['IL'],N/A,
4054,default,"Judging people's political views based on where they live, gender, race",No,68,Yes,Interesting study and well done! I do not make assumptions about people until I am able to have conversations with them!,2,Female,1,none,,Dem,0.2,0,0,0,0,0,0,,1,FL,"['CA', 'FL', 'WI']",none,
4268,default,perceptions of political leanings based on state?,Yes,23,Yes,,3,Female,4,,,Dem,0.28,0,0,0,0,0,0,,1,OH,['OH'],Midwestern,
4277,default,Not sure,No,30,Yes,,3,Male,6,,,Dem,0.14,0,0,0,0,0,0,,1,VA,['VA'],,
4227,default,To see how I judged the people based on their demographics and certain thoughts.,No,38,Yes,,3,Male,1,,,Green,0,0,0,0,0,0,0,,1,FL,"['FL', 'MA']",,
4187,default,How stereotypes influence our perception of other people's certainty,No,63,Yes,,4,Male,5,none,,Rep,0.61,0,0,0,0,0,0,,1,OH,"['AZ', 'OH', 'TX']",,
4178,default,I think the experiment was about how we judge other people and interpret what they say.,Yes,62,Yes,Everything was clear and easy to understand.,3,Male,6,,,Dem,0.1,0,0,0,0,0,0,,1,TX,['TX'],Southern,
4298,default,political leanings and impressions,No,38,Yes,,3,Male,3,none,,Dem,0.02,0,0,0,0,0,0,,1,MI,['MI'],,
4159,default,perceptions,No,30,Yes,,2,Male,0,,,Dem,0.32,0,0,0,0,0,0,,1,OR,['OR'],,
4284,default,If we assume certain things about people based on where they are from in the USA,Yes,44,Yes,,4,Male,7,English,I am a centrist - socially in many ways I am Democratically aligned and in fiscal things I am tend to be more republican,Other,0.52,0,0,0,0,0,0,,1,NC,['NC'],Southern American,
4200,default,How we perceive people from different backgrounds.,No,26,Yes,I had to put a lot of the sliders in the middle because I wasn't sure how to judge based on just their age gender and location,3,Female,1,None,,Dem,0.07,0,0,0,0,0,0,,1,GA,['GA'],,
4019,default,People's opinions on politics and judging other people's political beliefs based on how they look and where they are from. ,No,34,Yes,,2,Female,0,Spanish,,Dem,0,0,0,0,1,0,0,,0,CA,['CA'],,
4220,default,How we interpret people's statements based on where they are from and on what they infer.,No,55,Yes,,3,Female,4,,,Dem,0.04,0,0,0,0,0,0,,1,FL,"['CA', 'NE']",,
4311,default,do not know,Yes,70,Yes,,4,Male,3,,,Rep,0.58,0,0,0,0,0,0,,1,IN,"['AZ', 'IL', 'IN']",Hoosier,
4330,default,To see how people think of others with different political opinions,No,23,Yes,No comment,1,Male,3,N/A,,Dem,0,1,0,0,0,0,0,,0,NV,"['NV', 'NJ']",N/A,
4260,default,Political bias based on location in country and other factors.,No,39,Yes,It was interesting but a bit long. Thanks,3,Male,4,Spanish,,Dem,0.07,0,0,0,0,0,0,,1,IL,['IL'],,
4027,default,Unsure.,No,39,Yes,,3,Female,1,None.,,Dem,0.13,0,0,0,0,0,0,,1,GA,['GA'],,
4209,default,To see what political I might view someone to have with limit information ,No,36,Yes,Nothing at this time thank you,1,Female,3,N/A,,Rep,0.8,0,0,0,0,0,0,,1,NC,"['FL', 'KS', 'KY', 'MI', 'NC', 'TX']",,
4059,default,political beliefs based on location,No,41,Yes,,3,Female,5,,,Dem,0.2,0,0,0,0,0,0,,1,TX,['TX'],,
4049,default,How people judge others views based on how they look.,No,19,Yes,,1,Female,4,Spanish,,Green,0.52,0,0,0,1,0,0,,0,FL,['FL'],,
4154,default,n/a,No,31,Yes,,1,Female,1,SPANISH,,Rep,0.59,0,0,0,1,0,0,,1,OH,['OH'],,
4202,default,"Not sure, something about how a person's own view influences their first impressions of others and works to interpret things others say. I'm sure there was more to it, but the purpose of the study didn't jump out at me.",No,55,Yes,"I found it really hard, especially the second part. I did feel much certainty at all about the impressions I was asked to make of people based on their face, age, and where they were from. I tried to go based on gut feeling, but I often felt like I was guessing.",4,Female,4,none,None of them,Other,0.24,0,0,0,0,0,0,,1,MO,"['KS', 'MO']",none,
4143,default,not sure,No,48,Yes,,3,Female,0,English,,Lib,0.48,0,0,0,0,0,0,,1,MA,"['MA', 'NH', 'NY', 'WI']",,
4153,default,how people perceive others knowing just a little about them,No,48,Yes,this was very interesting,2,Female,1,n/a,,Dem,0.44,0,1,0,0,0,0,,0,TX,['TX'],,
4155,default,Bias based on appearance and location ,No,43,Yes,,2,Female,3,,,Green,0.01,0,0,0,0,0,0,,1,PA,"['MI', 'PA']",,
4225,default,To see if we would judge people's political values based on their picture and locations.,No,30,Yes,Everything worked fine.,3,Male,3,NA,,Lib,0.39,0,0,0,0,0,0,,1,PA,['PA'],NA,
4096,default,How people perceive facts versus opinion and if certain things sway them to choose a certain belief. ,Yes,53,Yes,,2,Female,2,,,Dem,0.14,0,0,0,0,0,0,,1,NC,"['NC', 'SC', 'TX']",east Texas accent,
4331,default,I don't know,Yes,76,Yes,,3,Male,2,none,,Lib,0,0,0,0,0,0,0,,1,ME,['ME'],Downeast,
4035,default,views based on people and their political views,No,40,Yes,,2,Female,5,none,,Dem,0.37,0,0,0,0,0,0,,1,IL,['IL'],,
4255,default,Epistemological interpretation of statements based on perceived similarity of political views,No,34,Yes,,4,Female,1,Mandarin,,Dem,0,1,0,0,0,0,0,,0,IN,"['IN', 'IA', 'MI', 'NJ', 'NY', 'PA', 'WA', 'WV']",,
4317,default,no clue,Yes,42,Yes,none,3,Male,6,,,Dem,0.5,0,0,0,0,0,0,,1,WI,"['AZ', 'MN', 'WI']",Midwestern,
4306,default,Judging other's political views.,No,65,Yes,Very interesting and well-thought out.,3,Male,5,,,Dem,0.05,0,0,0,0,0,0,,1,NY,"['FL', 'NY']",,
4171,default,No idea....,No,63,Yes,,1,Female,2,None,,Lib,1,0,0,0,0,0,0,,1,WA,['WA'],,
4024,default,Political ideology and communication,No,18,Yes,This was fun!,2,Female,0,,,Dem,0.33,0,0,0,0,0,0,,1,OH,['OH'],,
4280,default,"Unacknowledged biases based on people's race, gender, and where they're from",No,28,Yes,,3,Female,5,,Independent,Other,0.36,0,0,0,0,0,0,,1,AZ,['AZ'],,
4186,default,It's probably about how people view political alignment and upbringing environments,No,21,Yes,,1,Other,0,,,Dem,0,0,0,0,0,0,0,,1,TX,['TX'],,
4044,default,Judging people based on appearance and location.,No,35,Yes,none,2,Male,2,,,Dem,0.44,0,1,0,0,0,0,,0,TX,"['KS', 'MD', 'TX']",,
4110,default,political opinions based on perceptions,No,38,Yes,,3,Male,2,n/a,,Dem,0.28,0,0,0,0,0,0,,1,CT,['CT'],,
4140,default,to see how we view things politically that people say,No,50,Yes,Thanks interesting study,3,Female,2,,,Rep,0.46,0,0,0,0,0,0,,1,NY,['NY'],,
4190,default,how people political beliefs influence how they interpret language with regard to certainty and uncertainty,No,21,Yes,,2,Female,5,,,-1,0,0,0,0,0,0,0,,1,KY,['LA'],,
4057,default,Some kind of racial bias maybe?,Yes,46,Yes,"I liked the ease of use.  Very nice form to fill out, one of the best I have seen.",2,Female,2,N/A,,Lib,0.6,0,0,0,0,0,0,,1,TX,['TX'],Southern Texas,
4097,default,guessing people's political party based on little info.,Yes,36,Yes,,3,Female,1,none,,Dem,0.02,0,0,0,0,0,0,,1,SC,['SC'],Southern,
4281,default,Your perception of stereotypes,No,29,Yes,,1,Male,2,,,Dem,0,0,0,0,0,0,0,,1,MI,['MI'],,
4189,default,About reading carefully and understanding different people's perceptions and belief systems.,No,53,Yes,This was very interesting.  Thank you!,3,Female,2,,Independent,Other,0.5,0,0,0,0,0,0,,1,WI,['WI'],,
4039,default,I do not know,No,33,Yes,,3,Female,3,,,Dem,0.18,0,0,0,0,0,0,,1,TX,"['CA', 'IL', 'MI', 'TX']",,
4236,default,Checking my political biases.,Yes,31,Yes,"thank you for using ""left-leaning"" and ""right-leaning"" rather than the apparent default ""liberal"" and ""conservative"".",3,Female,7,spanish,,Dem,0,1,0,0,1,0,0,,1,FL,"['CA', 'FL', 'GA', 'NY', 'SC']",southern,
4234,default,People's preceptions of other people's beliefs,No,21,Yes,,2,Female,5,,,Rep,0.5,0,0,0,0,0,0,,1,PA,['PA'],,
4051,default,,No,36,Yes,,3,Female,2,,,Rep,0.9,0,0,0,0,0,0,,1,PA,['PA'],,
4301,default,,No,18,Yes,,1,Other,2,,none,Other,0.22,0,1,0,0,0,0,,0,IL,,,
4098,default,Perceptions of others,Yes,30,Yes,,2,Female,1,None,,Dem,0.2,0,0,0,0,0,0,,1,NY,"['MN', 'ND']",Minnesotan,
4197,default,To see if our views about someone's politics reflect their intent in ambiguous statements,Yes,35,Yes,,3,Male,5,,,Rep,0.91,0,0,0,0,0,0,,1,NJ,['NJ'],New Jersey,
4048,default,It is about guessing people's political opinions,No,40,Yes,,3,Female,5,Hindi,,Dem,0.23,1,0,0,0,0,0,,0,MN,"['CA', 'KS', 'MN']",,
4336,default,Judging others political and social beliefs based on limited information about them.,No,55,Yes,Very engaging experiment.  Thanks for doing this important research!,3,Female,3,n/a,,Dem,0,0,0,0,0,0,0,,1,PA,['PA'],n/a,
4160,default,Mostly politics and first impressions,Yes,40,Yes,Thank you! please send me more surveys.,2,Male,1,None,,Dem,0.27,0,0,0,0,1,0,,1,OK,"['OK', 'TX']",southern,
4174,default,Perceptions of other's political beliefs.,Yes,22,Yes,I liked this experiment.,3,Female,5,N/A,,Dem,0.32,0,0,0,0,0,0,,1,NY,['NY'],New York,
4333,default,unsure,No,38,Yes,,3,Male,3,,,Dem,0.4,0,0,0,0,0,0,,1,FL,['FL'],,
4037,default,NOT SUREBUT IF I HAD TO GUESS THE MISUNDERSTANDING OF ONE PERSON TO ANOTHER ON THEIR BELIEFS,No,52,Yes,NO,2,Female,1,ENGLISH,,Rep,1,0,0,0,0,0,0,,1,WI,['WI'],,
4163,default,How political beliefs may be perceived based on appearance and location.,Yes,25,Yes,,3,Female,1,,,Dem,0.01,0,0,0,0,0,0,,1,KY,['KY'],Southern,
4076,default,perception of what other people mean with what they say,Yes,55,Yes,,3,Female,1,,,Rep,0.86,0,0,0,0,0,0,,1,KS,['KS'],New York,
4021,default,first impressions based on appearance,No,45,Yes,,3,Female,5,,,Dem,0,0,0,0,0,0,0,,1,OH,['OH'],,
4127,default,Biases on political views based on gender and race,No,25,Yes,,3,Female,5,,,Dem,0.47,0,0,0,0,0,0,,1,FL,['FL'],,
4175,default,Thoughts on people and political views.,No,30,Yes,None,1,Male,0,none,,Dem,0.47,0,1,0,0,0,0,,0,GA,['GA'],,
4324,default,"I think this study is designed to understand political beliefs, interpretations of human impressions.",No,37,Yes,"As an American, I learned a lot about the well-known and unknown here, which I really liked. Thanks for sharing such research with me. Good luck to you.",3,Female,5,"NO, Only English ",,Dem,0.72,0,0,0,0,0,0,,1,TX,['TX'],,
4335,default,Determining our level of comprehension of people's text messages in a chat room?,No,43,Yes,No additional comments at this time,4,Male,4,English,No Party,Other,0.5,0,0,0,0,0,0,,1,MN,"['MN', 'ND']",N/A,
4223,default,Views on people,No,24,Yes,,3,Male,2,,Social,Other,0.04,0,0,0,1,0,0,,0,FL,['FL'],,
4112,default,POlitical beliefs,No,21,Yes,,3,Female,7,,,Dem,0.26,0,0,0,0,0,0,,1,IL,['NY'],,
4151,default,how people from different parts of the usa are seen by others,No,28,Yes,,3,Female,3,,,Dem,0.01,0,0,0,0,0,0,,1,CO,['LA'],,
4067,default,not sure,No,32,Yes,n/a,1,Female,2,,,Dem,0.35,0,0,0,0,0,0,,1,PA,,,
4344,default,To understand how people make choices,No,28,Yes,,2,Female,0,,,Dem,0,0,0,0,0,0,0,,1,MI,['MI'],,
4058,default,I think this study is testing how a person perceives another person's political afflitiation based on their appearance and location.,No,31,Yes,,3,Female,1,N/A,,Dem,0.23,0,1,0,0,0,0,,0,OH,['OH'],N/A,
4087,default,How people perceive the politics of people from certain places or of certain ethnicities,No,28,Yes,,4,Female,7,,,Dem,0.12,0,0,0,0,0,0,,1,OR,"['CA', 'CT', 'NC', 'OR', 'WI']",,
4129,default,Political perceptions based on identity ,No,21,Yes,,2,Female,7,Russian,,Dem,0.01,0,0,0,0,0,0,,1,IL,['IL'],,
4321,default,perceptions of other people based on what I think their political viewpoints are,No,56,Yes,,2,Male,1,none,,Rep,0.99,0,0,0,0,0,0,,1,NY,['NY'],,
4354,default,"questions about political beliefs, impressions of people",No,30,Yes,Good Study,3,Male,2,none,,Rep,0.9,0,0,0,0,0,0,,1,TN,['TN'],,
4242,default,Judging people's personality and political opinions based on an online profile,No,21,Yes,N/A,2,Male,1,N/A,,Dem,0.34,1,0,0,0,0,0,,0,CA,['CA'],N/A,
4327,default,Impressions of people and their politics,No,33,Yes,,2,Male,0,,,Dem,0,0,0,0,0,0,0,,1,AR,['AR'],,
4090,default,How we view others and their political beliefs and how that impacts how we understand their language,No,28,Yes,,4,Female,6,,,Dem,0.12,0,0,0,0,0,0,,1,NY,['NY'],,
4316,default,I do not know.,Yes,45,Yes,Jesus loves you!,3,Female,1,n/a,independent,Other,0.7,0,0,0,0,0,0,,1,OH,['OH'],midwest,
4239,default,perceptions of politics,No,32,Yes,thanks,3,Female,5,,,Dem,0.24,0,0,0,0,0,0,,1,FL,['FL'],,
4147,default,How peoples perception of biases are effected by how people look and where they live.,No,36,Yes,,3,Male,3,,,Dem,0.38,0,0,0,0,0,0,,1,PA,['PA'],,
4350,default,how our political views impact how we understand or perceive others,No,22,Yes,"not sure if this matters, but i recognized the faces as being from chicago face database ",3,Female,3,,,Dem,0.02,0,0,0,0,0,0,,1,PA,"['MD', 'MA']",,
4157,default,perception,Yes,31,Yes,-,4,Male,2,,,Lib,0.42,0,0,0,0,0,0,,1,PA,"['DC', 'PA']",American,
4264,default,"See if people have stereotypes about certain races, states, or other factors when it is related to political party and ideas they follow. ",No,26,Yes,,3,Male,2,Spanish,,Dem,0.12,0,0,0,0,0,0,,1,FL,"['AL', 'FL', 'MD', 'PA']",,
4082,default,How I think people are politically based on basic information.,No,37,Yes,"No comments, it was interesting, thank you!",2,Female,1,None,,Dem,0,0,0,0,0,0,0,,1,DE,['DE'],None,
4196,default,Perceptions of people based on demographics and comments,No,34,Yes,,4,Male,5,none,,Dem,0,0,0,0,0,0,1,,0,MO,['MO'],,
4062,default,to see what out thoughts of others are,No,34,Yes,cant tell a book by its cover,3,Female,3,,,Rep,1,0,0,0,0,0,0,,1,TX,['TX'],,
4205,default,Unsure,No,35,Yes,,3,Female,3,None,,Dem,0.12,0,0,0,0,0,0,,1,PA,"['MD', 'PA']",,
4252,default,how people perceive other political parties,No,34,Yes,,3,Female,2,none,,Dem,0.07,0,0,0,0,0,0,,1,CT,['CT'],,
4332,default,To see how people process language from others,No,28,Yes,No further comments,3,Female,4,NA,,Dem,0.1,0,0,0,0,0,0,,1,MI,"['MI', 'TX']",,
4346,default,Race and what I believe peoples politics are,Yes,44,Yes,,3,Female,4,german,,Lib,0.27,0,0,0,0,0,0,,1,FL,"['AZ', 'FL', 'MN']",Minnesotan,
4055,default,how people think other people lean politically,Yes,41,Yes,interesting format,4,Female,4,none,,Dem,0.01,0,0,0,0,0,0,,1,MI,['MI'],Canadian,
4069,default,No idea ,No,69,Yes,,3,Female,1,English,,Rep,1,0,0,0,0,0,0,,1,OR,['UT'],0,
4338,default,Personal bias on perceived political positions,No,26,Yes,,2,Male,2,n/a,,Lib,0.6,0,0,0,0,0,0,,1,TN,"['TN', 'WA']",n/a,
4296,default,Language and how we interpret it.,Yes,43,Yes,"I have no further comments, thank you.",3,Female,2,none,No Party,Other,0.03,0,0,0,0,0,0,,1,MO,['NE'],"Upper Midwestern mixed with ""Californian"" whatever that means. lol",
4212,default,how I judge what people think based on limited,Yes,56,Yes,,3,Female,2,na,,Dem,0.18,0,0,0,0,0,0,,1,GA,"['FL', 'GA']",southern,
4291,default,Impressions of others,No,33,Yes,,2,Female,6,N/A,,Rep,0.5,0,0,0,0,0,0,,1,CO,"['CA', 'CO']",,
4307,default,How people make judgments about others based on where they live and other factors,No,26,Yes,,3,Female,1,Spanish,,Dem,0,0,0,0,1,0,0,,1,FL,['FL'],N/A,
4322,default,Maybe our perception of people from red and blue states.,No,61,Yes,Interesting study!  Thank You,2,Male,1,none,,Dem,0.43,0,0,0,0,0,0,,1,IN,['IN'],,
4340,default,Attitudes toward political views of specific state populations,Yes,54,Yes,,2,Male,0,,,Lib,0.79,0,0,0,1,0,0,,1,MT,"['AL', 'AZ', 'CA', 'LA', 'MA', 'MT', 'OK', 'TX', 'WA']",Western,
4337,default,Whether a person's demographics influence how they perceive others based on their demographics.,No,48,Yes,,4,Female,5,,,Lib,0.24,0,0,0,0,0,0,,1,MI,['MI'],,
4074,default,Stereotyping,Yes,43,Yes,,3,Female,3,none,,Other,0.47,0,0,0,0,0,0,,1,CA,['CA'],No clue.,
4121,default,I am not exactly sure,No,64,Yes,thank you,1,Female,2,none,,Lib,0.79,0,0,0,0,0,0,,1,TX,['TX'],none,
4042,default,politics,No,23,Yes,nope,3,Male,7,none,,Lib,0.5,0,0,0,0,0,0,,1,WI,['HI'],none,
4248,default,Inherent bias based on race and state they are from/live in,No,25,Yes,,3,Male,3,,,Dem,0.32,1,0,0,0,0,0,,0,LA,['LA'],,
4300,default,Assessing biases,Yes,63,Yes,the layout should be improved,4,Male,1,,,Dem,0.13,0,0,0,0,0,0,,1,WV,['WV'],southern,
4218,default,Racism and political parties,No,35,Yes,,3,Male,3,,,Rep,0.83,0,0,0,0,0,0,,1,NC,['NC'],,
