workerid,proliferate.condition,CC,list,list_firstSocCond,orientation,response,rt,slide_number_in_experiment,socialCondition,topic,trigger_class,whichSocConditionFirst,error
3621,default,it is too easy to get an abortion,list1,list1-R,conservative,0.71,7284,12,R,abortion,C,R,
3622,default,it is too easy to get an abortion,list1,list1-D,conservative,0.24,4612,20,D,abortion,C,D,
3623,default,it is too easy to get an abortion,list1,list1-D,conservative,0.08,6632,18,D,abortion,C,D,
3624,default,it is too easy to get an abortion,list1,list1-D,conservative,0.34,4871,15,D,abortion,C,D,
3625,default,it is too easy to get an abortion,list1,list1-R,conservative,0.91,5260,9,R,abortion,C,R,
3626,default,it is too easy to get an abortion,list1,list1-R,conservative,0.74,3939,20,R,abortion,C,R,
3627,default,it is too easy to get an abortion,list1,list1-R,conservative,0.88,3549,16,R,abortion,C,R,
3628,default,it is too easy to get an abortion,list1,list1-R,conservative,0.5,6488,22,R,abortion,C,R,
3693,default,it is too easy to get an abortion,list1,list1-D,conservative,0.11,2771,15,D,abortion,C,D,
3694,default,it is too easy to get an abortion,list1,list1-D,conservative,0.38,9156,11,D,abortion,C,D,
3592,default,it is too hard to get an abortion,list2,list2-D,liberal,0.9,5242,19,D,abortion,C,D,
3598,default,it is too hard to get an abortion,list2,list2-D,liberal,0.11,4274,10,D,abortion,C,D,
3614,default,it is too hard to get an abortion,list2,list2-R,liberal,0.32,7412,6,R,abortion,C,R,
3586,default,it is too hard to get an abortion,list2,list2-D,liberal,0.66,14911,8,D,abortion,C,D,
3587,default,it is too hard to get an abortion,list2,list2-D,liberal,0.76,10252,9,D,abortion,C,D,
3589,default,it is too hard to get an abortion,list2,list2-R,liberal,0.24,7037,13,R,abortion,C,R,
3590,default,it is too hard to get an abortion,list2,list2-D,liberal,0.96,5028,19,D,abortion,C,D,
3593,default,it is too hard to get an abortion,list2,list2-R,liberal,0.19,10032,20,R,abortion,C,R,
3594,default,it is too hard to get an abortion,list2,list2-D,liberal,0.69,5368,9,D,abortion,C,D,
3597,default,it is too hard to get an abortion,list2,list2-R,liberal,0.05,7144,12,R,abortion,C,R,
3599,default,it is too hard to get an abortion,list2,list2-R,liberal,0.22,4270,10,R,abortion,C,R,
3600,default,it is too hard to get an abortion,list2,list2-D,liberal,0.7,11860,20,D,abortion,C,D,
3601,default,it is too hard to get an abortion,list2,list2-D,liberal,0.83,3782,14,D,abortion,C,D,
3602,default,it is too hard to get an abortion,list2,list2-R,liberal,0,5591,14,R,abortion,C,R,
3603,default,it is too hard to get an abortion,list2,list2-D,liberal,0.8,12633,11,D,abortion,C,D,
3604,default,it is too hard to get an abortion,list2,list2-R,liberal,0.2,9096,5,R,abortion,C,R,
3606,default,it is too hard to get an abortion,list2,list2-D,liberal,0.85,6748,21,D,abortion,C,D,
3607,default,it is too hard to get an abortion,list2,list2-R,liberal,0.02,11319,11,R,abortion,C,R,
3610,default,it is too hard to get an abortion,list2,list2-D,liberal,0.62,24920,17,D,abortion,C,D,
3613,default,it is too hard to get an abortion,list2,list2-R,liberal,0.11,6088,10,R,abortion,C,R,
3592,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,0.95,5880,4,R,Biden,C,D,
3598,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,0.77,4655,7,R,Biden,C,D,
3614,default,Biden has responded to the pandemic ineffectively,list2,list2-R,conservative,0.09,8037,20,D,Biden,C,R,
3586,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,1,5304,18,R,Biden,C,D,
3587,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,0.1,6623,11,R,Biden,C,D,
3589,default,Biden has responded to the pandemic ineffectively,list2,list2-R,conservative,0.05,5780,5,D,Biden,C,R,
3590,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,1,7386,8,R,Biden,C,D,
3593,default,Biden has responded to the pandemic ineffectively,list2,list2-R,conservative,0.6,10096,4,D,Biden,C,R,
3594,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,0.88,3456,8,R,Biden,C,D,
3597,default,Biden has responded to the pandemic ineffectively,list2,list2-R,conservative,0.4,10527,24,D,Biden,C,R,
3599,default,Biden has responded to the pandemic ineffectively,list2,list2-R,conservative,0.44,8078,5,D,Biden,C,R,
3600,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,0.19,5275,19,R,Biden,C,D,
3601,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,1,7442,6,R,Biden,C,D,
3602,default,Biden has responded to the pandemic ineffectively,list2,list2-R,conservative,0.8,4832,23,D,Biden,C,R,
3603,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,0,11516,4,R,Biden,C,D,
3604,default,Biden has responded to the pandemic ineffectively,list2,list2-R,conservative,0.44,5360,16,D,Biden,C,R,
3606,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,0.78,55293,16,R,Biden,C,D,
3607,default,Biden has responded to the pandemic ineffectively,list2,list2-R,conservative,0.19,450364,14,D,Biden,C,R,
3610,default,Biden has responded to the pandemic ineffectively,list2,list2-D,conservative,0.94,10851,15,R,Biden,C,D,
3613,default,Biden has responded to the pandemic ineffectively,list2,list2-R,conservative,0.5,8835,20,D,Biden,C,R,
3620,default,Biden has responded to the pandemic effectively,list1,list1-D,liberal,0.09,38206,6,R,Biden,C,D,
3611,default,Biden has responded to the pandemic effectively,list1,list1-D,liberal,0.2,10435,10,R,Biden,C,D,
3588,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.63,4192,10,D,Biden,C,R,
3591,default,Biden has responded to the pandemic effectively,list1,list1-D,liberal,0.15,7281,18,R,Biden,C,D,
3595,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.89,3388,10,D,Biden,C,R,
3596,default,Biden has responded to the pandemic effectively,list1,list1-D,liberal,0.14,4820,25,R,Biden,C,D,
3605,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.75,6253,4,D,Biden,C,R,
3608,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.78,4334,23,D,Biden,C,R,
3609,default,Biden has responded to the pandemic effectively,list1,list1-D,liberal,0.24,4934,18,R,Biden,C,D,
3612,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,1,5531,22,D,Biden,C,R,
3615,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.74,12163,5,D,Biden,C,R,
3619,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.73,5226,7,D,Biden,C,R,
3621,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.86,4678,18,D,Biden,C,R,
3622,default,Biden has responded to the pandemic effectively,list1,list1-D,liberal,0.18,4556,13,R,Biden,C,D,
3623,default,Biden has responded to the pandemic effectively,list1,list1-D,liberal,0.03,9985,17,R,Biden,C,D,
3624,default,Biden has responded to the pandemic effectively,list1,list1-D,liberal,0.04,6762,16,R,Biden,C,D,
3625,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.67,6251,14,D,Biden,C,R,
3626,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.73,4809,7,D,Biden,C,R,
3627,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.65,5744,9,D,Biden,C,R,
3628,default,Biden has responded to the pandemic effectively,list1,list1-R,liberal,0.99,6705,4,D,Biden,C,R,
3693,default,Biden has responded to the pandemic effectively,list1,list1-D,liberal,0.18,5541,10,R,Biden,C,D,
3694,default,Biden has responded to the pandemic effectively,list1,list1-D,liberal,0.39,10897,25,R,Biden,C,D,
3586,default,the capital of the US is in Ohio,list2,list2-D,none,0,8558,19,D,capital,MC,D,
3587,default,the capital of the US is in Ohio,list2,list2-D,none,0,8558,15,D,capital,MC,D,
3588,default,the capital of the US is in Ohio,list1,list1-R,none,0.64,5226,7,R,capital,MC,R,
3589,default,the capital of the US is in Ohio,list2,list2-R,none,0,12869,18,R,capital,MC,R,
3590,default,the capital of the US is in Ohio,list2,list2-D,none,0,7513,7,D,capital,MC,D,
3591,default,the capital of the US is in Ohio,list1,list1-D,none,0.04,9871,15,D,capital,MC,D,
3592,default,the capital of the US is in Ohio,list2,list2-D,none,0.04,5055,13,D,capital,MC,D,
3593,default,the capital of the US is in Ohio,list2,list2-R,none,0.01,8789,22,R,capital,MC,R,
3594,default,the capital of the US is in Ohio,list2,list2-D,none,0.25,3885,10,D,capital,MC,D,
3595,default,the capital of the US is in Ohio,list1,list1-R,none,0,3597,25,R,capital,MC,R,
3596,default,the capital of the US is in Ohio,list1,list1-D,none,0.04,6574,23,D,capital,MC,D,
3597,default,the capital of the US is in Ohio,list2,list2-R,none,0.02,7651,18,R,capital,MC,R,
3598,default,the capital of the US is in Ohio,list2,list2-D,none,0.07,7516,4,D,capital,MC,D,
3599,default,the capital of the US is in Ohio,list2,list2-R,none,0.01,3027,11,R,capital,MC,R,
3600,default,the capital of the US is in Ohio,list2,list2-D,none,0,8989,16,D,capital,MC,D,
3601,default,the capital of the US is in Ohio,list2,list2-D,none,0,5472,5,D,capital,MC,D,
3602,default,the capital of the US is in Ohio,list2,list2-R,none,0,5624,12,R,capital,MC,R,
3603,default,the capital of the US is in Ohio,list2,list2-D,none,0.09,44958,21,D,capital,MC,D,
3604,default,the capital of the US is in Ohio,list2,list2-R,none,0.02,7855,14,R,capital,MC,R,
3605,default,the capital of the US is in Ohio,list1,list1-R,none,0.07,6559,12,R,capital,MC,R,
3606,default,the capital of the US is in Ohio,list2,list2-D,none,0.05,24013,23,D,capital,MC,D,
3607,default,the capital of the US is in Ohio,list2,list2-R,none,0.04,15751,4,R,capital,MC,R,
3608,default,the capital of the US is in Ohio,list1,list1-R,none,0.52,7625,20,R,capital,MC,R,
3609,default,the capital of the US is in Ohio,list1,list1-D,none,0.01,5594,7,D,capital,MC,D,
3610,default,the capital of the US is in Ohio,list2,list2-D,none,0.14,10444,6,D,capital,MC,D,
3611,default,the capital of the US is in Ohio,list1,list1-D,none,0.49,8981,13,D,capital,MC,D,
3612,default,the capital of the US is in Ohio,list1,list1-R,none,0.02,14387,14,R,capital,MC,R,
3613,default,the capital of the US is in Ohio,list2,list2-R,none,0.27,8320,17,R,capital,MC,R,
3614,default,the capital of the US is in Ohio,list2,list2-R,none,0.01,38849,18,R,capital,MC,R,
3615,default,the capital of the US is in Ohio,list1,list1-R,none,0.01,7805,9,R,capital,MC,R,
3619,default,the capital of the US is in Ohio,list1,list1-R,none,0.21,11699,9,R,capital,MC,R,
3620,default,the capital of the US is in Ohio,list1,list1-D,none,0.02,10162,21,D,capital,MC,D,
3621,default,the capital of the US is in Ohio,list1,list1-R,none,0.01,4595,19,R,capital,MC,R,
3622,default,the capital of the US is in Ohio,list1,list1-D,none,0.02,5122,14,D,capital,MC,D,
3623,default,the capital of the US is in Ohio,list1,list1-D,none,0,11094,9,D,capital,MC,D,
3624,default,the capital of the US is in Ohio,list1,list1-D,none,0.17,9213,11,D,capital,MC,D,
3625,default,the capital of the US is in Ohio,list1,list1-R,none,0.01,5379,12,R,capital,MC,R,
3626,default,the capital of the US is in Ohio,list1,list1-R,none,0.29,5462,5,R,capital,MC,R,
3627,default,the capital of the US is in Ohio,list1,list1-R,none,0.01,10598,22,R,capital,MC,R,
3628,default,the capital of the US is in Ohio,list1,list1-R,none,0.01,6827,23,R,capital,MC,R,
3693,default,the capital of the US is in Ohio,list1,list1-D,none,0,8555,6,D,capital,MC,D,
3694,default,the capital of the US is in Ohio,list1,list1-D,none,0.06,14195,10,D,capital,MC,D,
3592,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.65,3888,20,R,capitol_uprising,C,D,
3598,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.74,3905,9,R,capitol_uprising,C,D,
3614,default,the uprising at the Capitol was patriotic,list2,list2-R,conservative,0.67,5771,22,D,capitol_uprising,C,R,
3586,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.63,6074,5,R,capitol_uprising,C,D,
3587,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.4,7921,22,R,capitol_uprising,C,D,
3589,default,the uprising at the Capitol was patriotic,list2,list2-R,conservative,0.07,5158,22,D,capitol_uprising,C,R,
3590,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.8,4628,24,R,capitol_uprising,C,D,
3593,default,the uprising at the Capitol was patriotic,list2,list2-R,conservative,0.23,7347,10,D,capitol_uprising,C,R,
3594,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.75,4070,12,R,capitol_uprising,C,D,
3597,default,the uprising at the Capitol was patriotic,list2,list2-R,conservative,0.01,7883,15,D,capitol_uprising,C,R,
3599,default,the uprising at the Capitol was patriotic,list2,list2-R,conservative,0.02,4541,16,D,capitol_uprising,C,R,
3600,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.37,7128,6,R,capitol_uprising,C,D,
3601,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.89,5448,12,R,capitol_uprising,C,D,
3602,default,the uprising at the Capitol was patriotic,list2,list2-R,conservative,0,5208,24,D,capitol_uprising,C,R,
3603,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.55,13628,13,R,capitol_uprising,C,D,
3604,default,the uprising at the Capitol was patriotic,list2,list2-R,conservative,0.05,5151,21,D,capitol_uprising,C,R,
3606,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.8,11021,4,R,capitol_uprising,C,D,
3607,default,the uprising at the Capitol was patriotic,list2,list2-R,conservative,0.02,7108,20,D,capitol_uprising,C,R,
3610,default,the uprising at the Capitol was patriotic,list2,list2-D,conservative,0.87,7838,22,R,capitol_uprising,C,D,
3613,default,the uprising at the Capitol was patriotic,list2,list2-R,conservative,0.03,5950,22,D,capitol_uprising,C,R,
3611,default,the uprising at the Capitol was domestic terrorism,list1,list1-D,liberal,0.23,14888,4,R,capitol_uprising,C,D,
3620,default,the uprising at the Capitol was domestic terrorism,list1,list1-D,liberal,0.18,10715,20,R,capitol_uprising,C,D,
3588,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.8,5096,13,D,capitol_uprising,C,R,
3591,default,the uprising at the Capitol was domestic terrorism,list1,list1-D,liberal,0.13,9541,12,R,capitol_uprising,C,D,
3595,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.73,5118,13,D,capitol_uprising,C,R,
3596,default,the uprising at the Capitol was domestic terrorism,list1,list1-D,liberal,0.28,7711,15,R,capitol_uprising,C,D,
3605,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.79,3703,7,D,capitol_uprising,C,R,
3608,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.8,7561,22,D,capitol_uprising,C,R,
3609,default,the uprising at the Capitol was domestic terrorism,list1,list1-D,liberal,0.35,8732,5,R,capitol_uprising,C,D,
3612,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.87,5473,23,D,capitol_uprising,C,R,
3615,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.98,4313,12,D,capitol_uprising,C,R,
3619,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.51,4768,6,D,capitol_uprising,C,R,
3621,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.8,4194,13,D,capitol_uprising,C,R,
3622,default,the uprising at the Capitol was domestic terrorism,list1,list1-D,liberal,0.16,8416,17,R,capitol_uprising,C,D,
3623,default,the uprising at the Capitol was domestic terrorism,list1,list1-D,liberal,0.09,5193,21,R,capitol_uprising,C,D,
3624,default,the uprising at the Capitol was domestic terrorism,list1,list1-D,liberal,0.26,6965,14,R,capitol_uprising,C,D,
3625,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.93,3864,7,D,capitol_uprising,C,R,
3626,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.51,5969,17,D,capitol_uprising,C,R,
3627,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.79,5158,24,D,capitol_uprising,C,R,
3628,default,the uprising at the Capitol was domestic terrorism,list1,list1-R,liberal,0.98,7165,13,D,capitol_uprising,C,R,
3693,default,the uprising at the Capitol was domestic terrorism,list1,list1-D,liberal,0.36,8669,19,R,capitol_uprising,C,D,
3694,default,the uprising at the Capitol was domestic terrorism,list1,list1-D,liberal,0.36,17637,12,R,capitol_uprising,C,D,
3592,default,COVID is an overhyped virus,list2,list2-D,conservative,0.09,16464,21,D,COVID,C,D,
3598,default,COVID is an overhyped virus,list2,list2-D,conservative,0.07,4111,17,D,COVID,C,D,
3614,default,COVID is an overhyped virus,list2,list2-R,conservative,0.81,7752,10,R,COVID,C,R,
3586,default,COVID is an overhyped virus,list2,list2-D,conservative,0.16,5421,25,D,COVID,C,D,
3587,default,COVID is an overhyped virus,list2,list2-D,conservative,0.19,4395,5,D,COVID,C,D,
3589,default,COVID is an overhyped virus,list2,list2-R,conservative,0.71,9968,16,R,COVID,C,R,
3590,default,COVID is an overhyped virus,list2,list2-D,conservative,0.1,7037,13,D,COVID,C,D,
3593,default,COVID is an overhyped virus,list2,list2-R,conservative,0.65,7487,12,R,COVID,C,R,
3594,default,COVID is an overhyped virus,list2,list2-D,conservative,0.32,3972,22,D,COVID,C,D,
3597,default,COVID is an overhyped virus,list2,list2-R,conservative,0.75,4516,9,R,COVID,C,R,
3599,default,COVID is an overhyped virus,list2,list2-R,conservative,0.1,3883,25,R,COVID,C,R,
3600,default,COVID is an overhyped virus,list2,list2-D,conservative,0.12,4556,21,D,COVID,C,D,
3601,default,COVID is an overhyped virus,list2,list2-D,conservative,0,6546,9,D,COVID,C,D,
3602,default,COVID is an overhyped virus,list2,list2-R,conservative,0.72,5520,19,R,COVID,C,R,
3603,default,COVID is an overhyped virus,list2,list2-D,conservative,0,14060,14,D,COVID,C,D,
3604,default,COVID is an overhyped virus,list2,list2-R,conservative,0.76,6735,6,R,COVID,C,R,
3606,default,COVID is an overhyped virus,list2,list2-D,conservative,0.22,4446,8,D,COVID,C,D,
3607,default,COVID is an overhyped virus,list2,list2-R,conservative,0.89,8431,24,R,COVID,C,R,
3610,default,COVID is an overhyped virus,list2,list2-D,conservative,0.03,5486,12,D,COVID,C,D,
3613,default,COVID is an overhyped virus,list2,list2-R,conservative,0.94,5864,9,R,COVID,C,R,
3620,default,COVID is a dangerous virus,list1,list1-D,liberal,0.85,7635,17,D,COVID,C,D,
3611,default,COVID is a dangerous virus,list1,list1-D,liberal,0.99,5305,11,D,COVID,C,D,
3588,default,COVID is a dangerous virus,list1,list1-R,liberal,0.23,3525,18,R,COVID,C,R,
3591,default,COVID is a dangerous virus,list1,list1-D,liberal,0.97,5129,13,D,COVID,C,D,
3595,default,COVID is a dangerous virus,list1,list1-R,liberal,0.5,4221,11,R,COVID,C,R,
3596,default,COVID is a dangerous virus,list1,list1-D,liberal,0.2,4952,12,D,COVID,C,D,
3605,default,COVID is a dangerous virus,list1,list1-R,liberal,0.11,3280,23,R,COVID,C,R,
3608,default,COVID is a dangerous virus,list1,list1-R,liberal,0.19,3676,24,R,COVID,C,R,
3609,default,COVID is a dangerous virus,list1,list1-D,liberal,0.77,8584,19,D,COVID,C,D,
3612,default,COVID is a dangerous virus,list1,list1-R,liberal,0.14,4403,16,R,COVID,C,R,
3615,default,COVID is a dangerous virus,list1,list1-R,liberal,0.31,10188,16,R,COVID,C,R,
3619,default,COVID is a dangerous virus,list1,list1-R,liberal,0.54,4124,12,R,COVID,C,R,
3621,default,COVID is a dangerous virus,list1,list1-R,liberal,0.35,3388,16,R,COVID,C,R,
3622,default,COVID is a dangerous virus,list1,list1-D,liberal,0.96,4303,5,D,COVID,C,D,
3623,default,COVID is a dangerous virus,list1,list1-D,liberal,0.94,3817,12,D,COVID,C,D,
3624,default,COVID is a dangerous virus,list1,list1-D,liberal,0.91,4297,10,D,COVID,C,D,
3625,default,COVID is a dangerous virus,list1,list1-R,liberal,0.03,4677,22,R,COVID,C,R,
3626,default,COVID is a dangerous virus,list1,list1-R,liberal,0.25,3757,9,R,COVID,C,R,
3627,default,COVID is a dangerous virus,list1,list1-R,liberal,0.31,5003,25,R,COVID,C,R,
3628,default,COVID is a dangerous virus,list1,list1-R,liberal,0.98,4395,25,R,COVID,C,R,
3693,default,COVID is a dangerous virus,list1,list1-D,liberal,0.88,3052,18,D,COVID,C,D,
3694,default,COVID is a dangerous virus,list1,list1-D,liberal,0.73,10292,22,D,COVID,C,D,
3586,default,U.S. presidential elections are held in November,list2,list2-D,conservative,1,103694,4,R,elections,MC,D,
3587,default,U.S. presidential elections are held in November,list2,list2-D,conservative,0.97,16961,8,R,elections,MC,D,
3588,default,U.S. presidential elections are held in November,list1,list1-R,conservative,0.85,9294,20,D,elections,MC,R,
3589,default,U.S. presidential elections are held in November,list2,list2-R,conservative,0.99,6734,23,D,elections,MC,R,
3590,default,U.S. presidential elections are held in November,list2,list2-D,conservative,1,4973,22,R,elections,MC,D,
3591,default,U.S. presidential elections are held in November,list1,list1-D,conservative,0.97,5512,25,R,elections,MC,D,
3592,default,U.S. presidential elections are held in November,list2,list2-D,conservative,0.98,5098,5,R,elections,MC,D,
3593,default,U.S. presidential elections are held in November,list2,list2-R,conservative,0.84,9286,13,D,elections,MC,R,
3594,default,U.S. presidential elections are held in November,list2,list2-D,conservative,0.94,4627,4,R,elections,MC,D,
3595,default,U.S. presidential elections are held in November,list1,list1-R,conservative,1,7614,21,D,elections,MC,R,
3596,default,U.S. presidential elections are held in November,list1,list1-D,conservative,0.85,5966,10,R,elections,MC,D,
3597,default,U.S. presidential elections are held in November,list2,list2-R,conservative,0.98,7052,7,D,elections,MC,R,
3598,default,U.S. presidential elections are held in November,list2,list2-D,conservative,0.94,8414,18,R,elections,MC,D,
3599,default,U.S. presidential elections are held in November,list2,list2-R,conservative,0.98,5836,6,D,elections,MC,R,
3600,default,U.S. presidential elections are held in November,list2,list2-D,conservative,0.98,8850,18,R,elections,MC,D,
3601,default,U.S. presidential elections are held in November,list2,list2-D,conservative,0.99,5012,8,R,elections,MC,D,
3602,default,U.S. presidential elections are held in November,list2,list2-R,conservative,1,10102,4,D,elections,MC,R,
3603,default,U.S. presidential elections are held in November,list2,list2-D,conservative,1,24438,9,R,elections,MC,D,
3604,default,U.S. presidential elections are held in November,list2,list2-R,conservative,0.84,15654,4,D,elections,MC,R,
