"workerid","proliferate.condition.x","CC","list","list_firstSocCond","orientation","response","rt","slide_number_in_experiment","socialCondition","topic","trigger_class","whichSocConditionFirst","error.x","proliferate.condition.y","about","accent","age","american","comments","education","gender","income","language","otherParty","party","politics","race_otherRaceText","race_white","state","whichAccent","error.y","trial"
3693,"default","the 2020 election was rigged","list1","list1-D","conservative",0.04,7815,17,"D","2020_election","C","D",NA,"default","Comparing individual beliefs with perceptions about others","No",23,"Yes","Best of luck with your research!",3,"Male",2,"English",NA,"Dem",0.13,NA,"white","VA",NA,NA,14
3694,"default","the 2020 election was rigged","list1","list1-D","conservative",0.19,7123,6,"D","2020_election","C","D",NA,"default","Do people think political views are more polarized or extreme depending on their own political leanings?","No",27,"Yes",NA,3,"Female",2,"English",NA,"Dem",0.13,NA,"white","MO",NA,NA,3
3592,"default","the 2020 election was legitimate","list2","list2-D","liberal",0.9,13824,12,"D","2020_election","C","D",NA,"default","Not sure","Yes",32,"Yes",NA,3,"Male",4,"English","Independent",NA,0.69,NA,"white","AR","Midwest",NA,9
3598,"default","the 2020 election was legitimate","list2","list2-D","liberal",0.44,4073,8,"D","2020_election","C","D",NA,"default","Political views","No",24,"Yes",NA,2,"Female",0,"English",NA,"Lib",0.31,NA,"white","CO",NA,NA,5
3614,"default","the 2020 election was legitimate","list2","list2-R","liberal",0.24,15360,4,"R","2020_election","C","R",NA,"default","Political views","No",30,"Yes","None",4,"Male",3,"English",NA,"Dem",0.3,NA,NA,"CA","N/a",NA,1
3586,"default","the 2020 election was legitimate","list2","list2-D","liberal",1,11683,23,"D","2020_election","C","D",NA,"default","To gauge people's opinion of how strongly Republicans and Democrats feel about certain issues.","No",44,"Yes","Thank you for an enjoyable survey.",2,"Male",3,"English",NA,"Lib",0.53,NA,"white","IN",NA,NA,20
3587,"default","the 2020 election was legitimate","list2","list2-D","liberal",0.9,4796,16,"D","2020_election","C","D",NA,"default","Don't know","Yes",32,"Yes","No comment",3,"Female",4,"English",NA,"Dem",0.1,NA,"white","WI","Minnesotan",NA,13
3589,"default","the 2020 election was legitimate","list2","list2-R","liberal",0.37,4894,15,"R","2020_election","C","R",NA,"default","How others perceive the believes of political parties","No",35,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.37,NA,"white","PA",NA,NA,12
3590,"default","the 2020 election was legitimate","list2","list2-D","liberal",1,5005,6,"D","2020_election","C","D",NA,"default","Not sure. Maybe assessing accuracy of perceptions of political party's beliefs (e.g., are we accurately able to guess what Republicans on average believe, or do we under/over estimate certain beliefs)","No",26,"Yes","N/A",3,"Female",3,"English",NA,"Dem",0,NA,"white","IN",NA,NA,3
3593,"default","the 2020 election was legitimate","list2","list2-R","liberal",0.29,5717,15,"R","2020_election","C","R",NA,"default","The differences between Democrats and Republicans way of thinking.","No",50,"Yes","It was interesting.",2,"Female",3,"English",NA,"Rep",0.61,NA,"white","NJ",NA,NA,12
3594,"default","the 2020 election was legitimate","list2","list2-D","liberal",0.68,3689,17,"D","2020_election","C","D",NA,"default",NA,"Yes",22,"Yes",NA,3,"Other",5,"English","Independent","Other",0,NA,"white","CO","Mild Southern Drawl",NA,14
3597,"default","the 2020 election was legitimate","list2","list2-R","liberal",0.31,6224,13,"R","2020_election","C","R",NA,"default","Determining how native vs. non-native language speakers view U.S. political parties.","Yes",57,"Yes","Thank your for the sliding scale rating option.  Sometimes answers that are forced into only a few options don't feel accurate.",3,"Female",5,"English",NA,"Dem",0.33,NA,"white","GA","Southern American",NA,10
3599,"default","the 2020 election was legitimate","list2","list2-R","liberal",0.62,5056,15,"R","2020_election","C","R",NA,"default","How people believe other political parties view certain topics.","No",21,"Yes",NA,2,"Female",5,"English",NA,"Dem",0.05,NA,"white","NJ",NA,NA,12
3600,"default","the 2020 election was legitimate","list2","list2-D","liberal",0.99,6580,5,"D","2020_election","C","D",NA,"default","Political leanings and stereotypes","Yes",52,"Yes",NA,3,"Male",5,"English",NA,"Dem",0.09,NA,"white","NC","Southern",NA,2
3601,"default","the 2020 election was legitimate","list2","list2-D","liberal",0.97,5053,20,"D","2020_election","C","D",NA,"default","The general public's perceptions about the views of Democrats and Republicans","No",20,"Yes",NA,2,"Female",5,"English",NA,"Dem",0,NA,"white","PA",NA,NA,17
3602,"default","the 2020 election was legitimate","list2","list2-R","liberal",0.35,5960,22,"R","2020_election","C","R",NA,"default","How we view the political beliefs of Republicans and Democrats.","Yes",41,"Yes","None",3,"Male",5,"English",NA,"Dem",0.13,NA,"white","GA","Northeastern U.S.",NA,19
3603,"default","the 2020 election was legitimate","list2","list2-D","liberal",0.99,6468,17,"D","2020_election","C","D",NA,"default","IDK, perhaps if the stereotypes are common knowledge?","No",54,"Yes","I had a hard time admitting to the Republican stereotypes sometimes. :)",4,"Female",6,"English",NA,"Rep",0.78,NA,"white","FL","None",NA,14
3604,"default","the 2020 election was legitimate","list2","list2-R","liberal",0.3,7503,7,"R","2020_election","C","R",NA,"default","How people view the general beliefs of each party","Yes",26,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.24,NA,"white","NJ","midwestern or southern",NA,4
3607,"default","the 2020 election was legitimate","list2","list2-R","liberal",0.04,113780,22,"R","2020_election","C","R",NA,"default","To get an idea on how different parties view one another","No",24,"Yes",NA,3,"Female",0,"english",NA,"Dem",0.07,NA,"white","FL",NA,NA,19
3610,"default","the 2020 election was legitimate","list2","list2-D","liberal",0.93,5734,20,"D","2020_election","C","D",NA,"default","My beliefs regarding democrat and republican views based on my own political views.","No",45,"Yes","I appreciate the opportunity in recognizing my own political biases based on my responses.",3,"Female",2,"English",NA,"Dem",0.36,NA,"white","WA",NA,NA,17
3613,"default","the 2020 election was legitimate","list2","list2-R","liberal",0.05,7963,7,"R","2020_election","C","R",NA,"default","perceptions of the two major political parties in the US","No",25,"Yes",NA,3,"Female",4,"english",NA,"Dem",0,NA,NA,"IL",NA,NA,4
3620,"default","it is too easy to get an abortion","list1","list1-D","conservative",0.14,9001,8,"D","abortion","C","D",NA,"default","Stereotypes surrounding Democrat and Republican beliefs.","No",40,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.52,NA,"white","KS",NA,NA,5
3591,"default","it is too easy to get an abortion","list1","list1-D","conservative",0.18,11416,10,"D","abortion","C","D",NA,"default","Political Beliefs","No",27,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.65,NA,"white","SC","N/A",NA,7
3595,"default","it is too easy to get an abortion","list1","list1-R","conservative",0.79,3404,16,"R","abortion","C","R",NA,"default","Perceptions of the 'opposing' party beliefs","Yes",33,"Yes",NA,4,"Female",5,"English",NA,"Dem",0.13,"Jewish","white","FL","Lower midlands/appalacian",NA,13
3596,"default","it is too easy to get an abortion","list1","list1-D","conservative",0.35,7635,21,"D","abortion","C","D",NA,"default","if your accent reflects your political views","No",19,"Yes",NA,1,"Female",1,"English",NA,"Dem",0.31,NA,"white","NC","Southern",NA,18
3605,"default","it is too easy to get an abortion","list1","list1-R","conservative",0.9,4639,14,"R","abortion","C","R",NA,"default","I have no idea","No",40,"Yes",NA,2,"Male",0,"English",NA,"Dem",0,NA,"white","NC",NA,NA,11
3609,"default","it is too easy to get an abortion","list1","list1-D","conservative",0.2,8206,4,"D","abortion","C","D",NA,"default","Stereotypes of party views","No",29,"Yes",NA,4,"Female",3,"English",NA,"Dem",0.11,NA,"white","AK",NA,NA,1
3612,"default","it is too easy to get an abortion","list1","list1-R","conservative",0.7,6017,18,"R","abortion","C","R",NA,"default","Different views of the political parties","Yes",20,"Yes",NA,2,"Female",0,"English",NA,"Rep",0.8,NA,"white","KS","Midwestern",NA,15
3615,"default","it is too easy to get an abortion","list1","list1-R","conservative",0.81,5834,24,"R","abortion","C","R",NA,"default","alignment with established political mindsets","No",37,"Yes",NA,4,"Female",6,"English",NA,"Dem",0.27,NA,"white","MA",NA,NA,21
3621,"default","it is too easy to get an abortion","list1","list1-R","conservative",0.71,7284,12,"R","abortion","C","R",NA,"default","Perceptions of beliefs and values of members of political parties.","No",32,"Yes",NA,3,"Male",5,"English",NA,"Lib",0.63,NA,"white","CA",NA,NA,9
3622,"default","it is too easy to get an abortion","list1","list1-D","conservative",0.24,4612,20,"D","abortion","C","D",NA,"default","The typical views of Republicans and Democrats. Both are garbage","No",42,"Yes",NA,2,"Male",1,"English","Dem Socialist/Socialist","Other",0,NA,"white","AZ","None",NA,17
3623,"default","it is too easy to get an abortion","list1","list1-D","conservative",0.08,6632,18,"D","abortion","C","D",NA,"default","I believe it is to see how people from certain political parties view the democratic and republican parties.","Yes",19,"Yes",NA,2,"Female",5,"English",NA,"Dem",0.05,NA,"white","MS","Southern/Country",NA,15
3624,"default","it is too easy to get an abortion","list1","list1-D","conservative",0.34,4871,15,"D","abortion","C","D",NA,"default","How likely I believe a certain political party is to believe in a given policy.","No",42,"Yes","no thank you",3,"Male",5,"english",NA,"Dem",0.36,NA,"white","MN",NA,NA,12
3625,"default","it is too easy to get an abortion","list1","list1-R","conservative",0.91,5260,9,"R","abortion","C","R",NA,"default","politics","Yes",22,"Yes","n/a",2,"Male",3,"English",NA,"Rep",0.69,NA,"white","WI","midwestern",NA,6
3626,"default","it is too easy to get an abortion","list1","list1-R","conservative",0.74,3939,20,"R","abortion","C","R",NA,"default","democrats and republicans","No",25,"Yes",NA,1,"Female",2,"english",NA,"Lib",0.18,NA,"white",NA,NA,NA,17
3627,"default","it is too easy to get an abortion","list1","list1-R","conservative",0.88,3549,16,"R","abortion","C","R",NA,"default","Seeing what we believe about others based on our personal beliefs","No",24,"Yes",NA,3,"Female",4,"English",NA,"Dem",0.32,NA,"white","OR",NA,NA,13
3628,"default","it is too easy to get an abortion","list1","list1-R","conservative",0.5,6488,22,"R","abortion","C","R",NA,"default","How polarized our country currently is in regards to social/economic issues. I think this survey is trying to create a correlation between party affiliations and attitudes towards certain issues.","Yes",24,"Yes","I think this survey is continuing to show that there is a divide in the nation, but labeling people as leaning more towards the left or right is not going to solve anything. Issues should be handled on their merits, not by what one party thinks is right as opposed to another.",4,"Female",3,"english, armenian",NA,"Rep",0.65,"armenian",NA,"CA","armenian",NA,19
3693,"default","it is too easy to get an abortion","list1","list1-D","conservative",0.11,2771,15,"D","abortion","C","D",NA,"default","Comparing individual beliefs with perceptions about others","No",23,"Yes","Best of luck with your research!",3,"Male",2,"English",NA,"Dem",0.13,NA,"white","VA",NA,NA,12
3694,"default","it is too easy to get an abortion","list1","list1-D","conservative",0.38,9156,11,"D","abortion","C","D",NA,"default","Do people think political views are more polarized or extreme depending on their own political leanings?","No",27,"Yes",NA,3,"Female",2,"English",NA,"Dem",0.13,NA,"white","MO",NA,NA,8
3592,"default","it is too hard to get an abortion","list2","list2-D","liberal",0.9,5242,19,"D","abortion","C","D",NA,"default","Not sure","Yes",32,"Yes",NA,3,"Male",4,"English","Independent",NA,0.69,NA,"white","AR","Midwest",NA,16
3598,"default","it is too hard to get an abortion","list2","list2-D","liberal",0.11,4274,10,"D","abortion","C","D",NA,"default","Political views","No",24,"Yes",NA,2,"Female",0,"English",NA,"Lib",0.31,NA,"white","CO",NA,NA,7
3614,"default","it is too hard to get an abortion","list2","list2-R","liberal",0.32,7412,6,"R","abortion","C","R",NA,"default","Political views","No",30,"Yes","None",4,"Male",3,"English",NA,"Dem",0.3,NA,NA,"CA","N/a",NA,3
3586,"default","it is too hard to get an abortion","list2","list2-D","liberal",0.66,14911,8,"D","abortion","C","D",NA,"default","To gauge people's opinion of how strongly Republicans and Democrats feel about certain issues.","No",44,"Yes","Thank you for an enjoyable survey.",2,"Male",3,"English",NA,"Lib",0.53,NA,"white","IN",NA,NA,5
3587,"default","it is too hard to get an abortion","list2","list2-D","liberal",0.76,10252,9,"D","abortion","C","D",NA,"default","Don't know","Yes",32,"Yes","No comment",3,"Female",4,"English",NA,"Dem",0.1,NA,"white","WI","Minnesotan",NA,6
3589,"default","it is too hard to get an abortion","list2","list2-R","liberal",0.24,7037,13,"R","abortion","C","R",NA,"default","How others perceive the believes of political parties","No",35,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.37,NA,"white","PA",NA,NA,10
3590,"default","it is too hard to get an abortion","list2","list2-D","liberal",0.96,5028,19,"D","abortion","C","D",NA,"default","Not sure. Maybe assessing accuracy of perceptions of political party's beliefs (e.g., are we accurately able to guess what Republicans on average believe, or do we under/over estimate certain beliefs)","No",26,"Yes","N/A",3,"Female",3,"English",NA,"Dem",0,NA,"white","IN",NA,NA,16
3593,"default","it is too hard to get an abortion","list2","list2-R","liberal",0.19,10032,20,"R","abortion","C","R",NA,"default","The differences between Democrats and Republicans way of thinking.","No",50,"Yes","It was interesting.",2,"Female",3,"English",NA,"Rep",0.61,NA,"white","NJ",NA,NA,17
3594,"default","it is too hard to get an abortion","list2","list2-D","liberal",0.69,5368,9,"D","abortion","C","D",NA,"default",NA,"Yes",22,"Yes",NA,3,"Other",5,"English","Independent","Other",0,NA,"white","CO","Mild Southern Drawl",NA,6
3597,"default","it is too hard to get an abortion","list2","list2-R","liberal",0.05,7144,12,"R","abortion","C","R",NA,"default","Determining how native vs. non-native language speakers view U.S. political parties.","Yes",57,"Yes","Thank your for the sliding scale rating option.  Sometimes answers that are forced into only a few options don't feel accurate.",3,"Female",5,"English",NA,"Dem",0.33,NA,"white","GA","Southern American",NA,9
3599,"default","it is too hard to get an abortion","list2","list2-R","liberal",0.22,4270,10,"R","abortion","C","R",NA,"default","How people believe other political parties view certain topics.","No",21,"Yes",NA,2,"Female",5,"English",NA,"Dem",0.05,NA,"white","NJ",NA,NA,7
3600,"default","it is too hard to get an abortion","list2","list2-D","liberal",0.7,11860,20,"D","abortion","C","D",NA,"default","Political leanings and stereotypes","Yes",52,"Yes",NA,3,"Male",5,"English",NA,"Dem",0.09,NA,"white","NC","Southern",NA,17
3601,"default","it is too hard to get an abortion","list2","list2-D","liberal",0.83,3782,14,"D","abortion","C","D",NA,"default","The general public's perceptions about the views of Democrats and Republicans","No",20,"Yes",NA,2,"Female",5,"English",NA,"Dem",0,NA,"white","PA",NA,NA,11
3602,"default","it is too hard to get an abortion","list2","list2-R","liberal",0,5591,14,"R","abortion","C","R",NA,"default","How we view the political beliefs of Republicans and Democrats.","Yes",41,"Yes","None",3,"Male",5,"English",NA,"Dem",0.13,NA,"white","GA","Northeastern U.S.",NA,11
3603,"default","it is too hard to get an abortion","list2","list2-D","liberal",0.8,12633,11,"D","abortion","C","D",NA,"default","IDK, perhaps if the stereotypes are common knowledge?","No",54,"Yes","I had a hard time admitting to the Republican stereotypes sometimes. :)",4,"Female",6,"English",NA,"Rep",0.78,NA,"white","FL","None",NA,8
3604,"default","it is too hard to get an abortion","list2","list2-R","liberal",0.2,9096,5,"R","abortion","C","R",NA,"default","How people view the general beliefs of each party","Yes",26,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.24,NA,"white","NJ","midwestern or southern",NA,2
3607,"default","it is too hard to get an abortion","list2","list2-R","liberal",0.02,11319,11,"R","abortion","C","R",NA,"default","To get an idea on how different parties view one another","No",24,"Yes",NA,3,"Female",0,"english",NA,"Dem",0.07,NA,"white","FL",NA,NA,8
3610,"default","it is too hard to get an abortion","list2","list2-D","liberal",0.62,24920,17,"D","abortion","C","D",NA,"default","My beliefs regarding democrat and republican views based on my own political views.","No",45,"Yes","I appreciate the opportunity in recognizing my own political biases based on my responses.",3,"Female",2,"English",NA,"Dem",0.36,NA,"white","WA",NA,NA,14
3613,"default","it is too hard to get an abortion","list2","list2-R","liberal",0.11,6088,10,"R","abortion","C","R",NA,"default","perceptions of the two major political parties in the US","No",25,"Yes",NA,3,"Female",4,"english",NA,"Dem",0,NA,NA,"IL",NA,NA,7
3592,"default","Biden has responded to the pandemic ineffectively","list2","list2-D","conservative",0.95,5880,4,"R","Biden","C","D",NA,"default","Not sure","Yes",32,"Yes",NA,3,"Male",4,"English","Independent",NA,0.69,NA,"white","AR","Midwest",NA,1
3598,"default","Biden has responded to the pandemic ineffectively","list2","list2-D","conservative",0.77,4655,7,"R","Biden","C","D",NA,"default","Political views","No",24,"Yes",NA,2,"Female",0,"English",NA,"Lib",0.31,NA,"white","CO",NA,NA,4
3614,"default","Biden has responded to the pandemic ineffectively","list2","list2-R","conservative",0.09,8037,20,"D","Biden","C","R",NA,"default","Political views","No",30,"Yes","None",4,"Male",3,"English",NA,"Dem",0.3,NA,NA,"CA","N/a",NA,17
3586,"default","Biden has responded to the pandemic ineffectively","list2","list2-D","conservative",1,5304,18,"R","Biden","C","D",NA,"default","To gauge people's opinion of how strongly Republicans and Democrats feel about certain issues.","No",44,"Yes","Thank you for an enjoyable survey.",2,"Male",3,"English",NA,"Lib",0.53,NA,"white","IN",NA,NA,15
3587,"default","Biden has responded to the pandemic ineffectively","list2","list2-D","conservative",0.1,6623,11,"R","Biden","C","D",NA,"default","Don't know","Yes",32,"Yes","No comment",3,"Female",4,"English",NA,"Dem",0.1,NA,"white","WI","Minnesotan",NA,8
3589,"default","Biden has responded to the pandemic ineffectively","list2","list2-R","conservative",0.05,5780,5,"D","Biden","C","R",NA,"default","How others perceive the believes of political parties","No",35,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.37,NA,"white","PA",NA,NA,2
3590,"default","Biden has responded to the pandemic ineffectively","list2","list2-D","conservative",1,7386,8,"R","Biden","C","D",NA,"default","Not sure. Maybe assessing accuracy of perceptions of political party's beliefs (e.g., are we accurately able to guess what Republicans on average believe, or do we under/over estimate certain beliefs)","No",26,"Yes","N/A",3,"Female",3,"English",NA,"Dem",0,NA,"white","IN",NA,NA,5
3593,"default","Biden has responded to the pandemic ineffectively","list2","list2-R","conservative",0.6,10096,4,"D","Biden","C","R",NA,"default","The differences between Democrats and Republicans way of thinking.","No",50,"Yes","It was interesting.",2,"Female",3,"English",NA,"Rep",0.61,NA,"white","NJ",NA,NA,1
3594,"default","Biden has responded to the pandemic ineffectively","list2","list2-D","conservative",0.88,3456,8,"R","Biden","C","D",NA,"default",NA,"Yes",22,"Yes",NA,3,"Other",5,"English","Independent","Other",0,NA,"white","CO","Mild Southern Drawl",NA,5
3597,"default","Biden has responded to the pandemic ineffectively","list2","list2-R","conservative",0.4,10527,24,"D","Biden","C","R",NA,"default","Determining how native vs. non-native language speakers view U.S. political parties.","Yes",57,"Yes","Thank your for the sliding scale rating option.  Sometimes answers that are forced into only a few options don't feel accurate.",3,"Female",5,"English",NA,"Dem",0.33,NA,"white","GA","Southern American",NA,21
3599,"default","Biden has responded to the pandemic ineffectively","list2","list2-R","conservative",0.44,8078,5,"D","Biden","C","R",NA,"default","How people believe other political parties view certain topics.","No",21,"Yes",NA,2,"Female",5,"English",NA,"Dem",0.05,NA,"white","NJ",NA,NA,2
3600,"default","Biden has responded to the pandemic ineffectively","list2","list2-D","conservative",0.19,5275,19,"R","Biden","C","D",NA,"default","Political leanings and stereotypes","Yes",52,"Yes",NA,3,"Male",5,"English",NA,"Dem",0.09,NA,"white","NC","Southern",NA,16
3601,"default","Biden has responded to the pandemic ineffectively","list2","list2-D","conservative",1,7442,6,"R","Biden","C","D",NA,"default","The general public's perceptions about the views of Democrats and Republicans","No",20,"Yes",NA,2,"Female",5,"English",NA,"Dem",0,NA,"white","PA",NA,NA,3
3602,"default","Biden has responded to the pandemic ineffectively","list2","list2-R","conservative",0.8,4832,23,"D","Biden","C","R",NA,"default","How we view the political beliefs of Republicans and Democrats.","Yes",41,"Yes","None",3,"Male",5,"English",NA,"Dem",0.13,NA,"white","GA","Northeastern U.S.",NA,20
3603,"default","Biden has responded to the pandemic ineffectively","list2","list2-D","conservative",0,11516,4,"R","Biden","C","D",NA,"default","IDK, perhaps if the stereotypes are common knowledge?","No",54,"Yes","I had a hard time admitting to the Republican stereotypes sometimes. :)",4,"Female",6,"English",NA,"Rep",0.78,NA,"white","FL","None",NA,1
3604,"default","Biden has responded to the pandemic ineffectively","list2","list2-R","conservative",0.44,5360,16,"D","Biden","C","R",NA,"default","How people view the general beliefs of each party","Yes",26,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.24,NA,"white","NJ","midwestern or southern",NA,13
3607,"default","Biden has responded to the pandemic ineffectively","list2","list2-R","conservative",0.19,450364,14,"D","Biden","C","R",NA,"default","To get an idea on how different parties view one another","No",24,"Yes",NA,3,"Female",0,"english",NA,"Dem",0.07,NA,"white","FL",NA,NA,11
3610,"default","Biden has responded to the pandemic ineffectively","list2","list2-D","conservative",0.94,10851,15,"R","Biden","C","D",NA,"default","My beliefs regarding democrat and republican views based on my own political views.","No",45,"Yes","I appreciate the opportunity in recognizing my own political biases based on my responses.",3,"Female",2,"English",NA,"Dem",0.36,NA,"white","WA",NA,NA,12
3613,"default","Biden has responded to the pandemic ineffectively","list2","list2-R","conservative",0.5,8835,20,"D","Biden","C","R",NA,"default","perceptions of the two major political parties in the US","No",25,"Yes",NA,3,"Female",4,"english",NA,"Dem",0,NA,NA,"IL",NA,NA,17
3620,"default","Biden has responded to the pandemic effectively","list1","list1-D","liberal",0.09,38206,6,"R","Biden","C","D",NA,"default","Stereotypes surrounding Democrat and Republican beliefs.","No",40,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.52,NA,"white","KS",NA,NA,3
3591,"default","Biden has responded to the pandemic effectively","list1","list1-D","liberal",0.15,7281,18,"R","Biden","C","D",NA,"default","Political Beliefs","No",27,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.65,NA,"white","SC","N/A",NA,15
3595,"default","Biden has responded to the pandemic effectively","list1","list1-R","liberal",0.89,3388,10,"D","Biden","C","R",NA,"default","Perceptions of the 'opposing' party beliefs","Yes",33,"Yes",NA,4,"Female",5,"English",NA,"Dem",0.13,"Jewish","white","FL","Lower midlands/appalacian",NA,7
3596,"default","Biden has responded to the pandemic effectively","list1","list1-D","liberal",0.14,4820,25,"R","Biden","C","D",NA,"default","if your accent reflects your political views","No",19,"Yes",NA,1,"Female",1,"English",NA,"Dem",0.31,NA,"white","NC","Southern",NA,22
3605,"default","Biden has responded to the pandemic effectively","list1","list1-R","liberal",0.75,6253,4,"D","Biden","C","R",NA,"default","I have no idea","No",40,"Yes",NA,2,"Male",0,"English",NA,"Dem",0,NA,"white","NC",NA,NA,1
3609,"default","Biden has responded to the pandemic effectively","list1","list1-D","liberal",0.24,4934,18,"R","Biden","C","D",NA,"default","Stereotypes of party views","No",29,"Yes",NA,4,"Female",3,"English",NA,"Dem",0.11,NA,"white","AK",NA,NA,15
3612,"default","Biden has responded to the pandemic effectively","list1","list1-R","liberal",1,5531,22,"D","Biden","C","R",NA,"default","Different views of the political parties","Yes",20,"Yes",NA,2,"Female",0,"English",NA,"Rep",0.8,NA,"white","KS","Midwestern",NA,19
3615,"default","Biden has responded to the pandemic effectively","list1","list1-R","liberal",0.74,12163,5,"D","Biden","C","R",NA,"default","alignment with established political mindsets","No",37,"Yes",NA,4,"Female",6,"English",NA,"Dem",0.27,NA,"white","MA",NA,NA,2
3621,"default","Biden has responded to the pandemic effectively","list1","list1-R","liberal",0.86,4678,18,"D","Biden","C","R",NA,"default","Perceptions of beliefs and values of members of political parties.","No",32,"Yes",NA,3,"Male",5,"English",NA,"Lib",0.63,NA,"white","CA",NA,NA,15
