workerid,proliferate.condition,about,accent,age,american,comments,education,gender,income,language,otherParty,party,politics,race_asian,race_black,race_hawaiian,race_latino,race_native,race_otherRaceCheck,race_otherRaceText,race_white,state,state1year,whichAccent,error
3937,default,how we interpret people's views,No,63,Yes,,3,Female,2,none,,Rep,0.72,0,0,0,0,0,0,,1,FL,['MA'],none,
3917,default,Impressions of other people and the comments they make,No,51,Yes,Interesting study ,3,Male,4,none,,Dem,0.4,0,0,0,0,0,0,,1,PA,['NJ'],,
3986,default,Personality judgements based off of political opinions ,No,22,Yes,,3,Female,4,,,Dem,0.04,0,0,0,0,0,0,,1,CA,['CA'],,
3800,default,How political party--and possibly facial expressions and appearance--affect expectations.,No,68,Yes,"A few questions mentioned immigrants without specifying legal or illegal which, IMO, often makes the questions impossible to answer clearly.",2,Male,3,,,Rep,0.94,0,0,0,0,0,0,,1,MS,"['MS', 'TN']",,
3903,default,The experiment was about the perception of others based on their political beliefs.,No,34,Yes,none,3,Male,2,Spanish,,Dem,0,0,0,0,1,0,0,,0,CA,['CA'],,
3936,default,if political affiliation effects how we view what people say,No,40,Yes,,2,Male,3,none,,Dem,0.31,0,0,0,0,0,0,,1,CA,"['CA', 'OH']",,
3806,default,To evaluate how people think of others political opinions.,No,67,Yes,I don't have any at this time.,2,Female,1,none,,Rep,1,0,0,0,0,0,0,,1,TX,"['AL', 'CA', 'TX', 'WA']",,
3989,default,Political perceptions,No,24,Yes,,3,Female,3,,,Rep,0.57,0,1,0,0,0,0,,1,PA,['PA'],,
3988,default,political orientation and bias,Yes,23,Yes,,3,Female,3,,,Dem,0.21,0,0,0,0,0,0,,1,PA,"['NJ', 'PA']",Jersey,
3869,default,opinions of people's political ideaas,No,33,Yes,,3,Male,2,,,Dem,0.22,0,0,0,0,0,0,,1,CA,['CA'],,
3833,default,To determine if someone's political beliefs could effect my view of them.,No,22,Yes,I liked comparing the people to what they believed in.,2,Male,5,Spanish,,Rep,0.5,0,1,0,1,0,0,,0,MO,['MO'],n/a,
3990,default,What biases we perceive about someone's personality based on their political beliefs and/or what biases we have about someone's political beliefs based on their appearance.,No,26,Yes,None.,1,Male,1,,,Dem,0.26,0,1,0,0,0,0,,0,MD,['MD'],,
4002,default,?,Yes,40,Yes,,3,Female,3,,,Dem,0.2,0,0,0,0,0,0,,1,WV,['WV'],southern,
3866,default,Parties,No,20,Yes,,2,Female,0,,,Dem,0.16,1,0,0,0,0,0,,0,TX,['TX'],,
3921,default,Whether you form opinions about people based on their political orientation ,No,57,Yes,,3,Female,2,,,Dem,0.17,0,0,0,0,0,0,,1,WI,['WI'],,
3930,default,to see what political parties think about events,No,33,Yes,was pretty interesting ,3,Male,5,,,Rep,0.73,0,0,0,0,0,0,,1,IL,,,
3927,default,Politics and peoples views,No,30,Yes,Thanks!,1,Male,1,,,Rep,0.77,0,0,0,0,0,0,,1,FL,"['FL', 'NY']",,
3767,default,perceptions of people from main political parties,No,35,Yes,,2,Female,0,none,,Dem,0.39,0,0,0,0,0,0,,1,NC,"['FL', 'IL', 'LA', 'NC', 'TX', 'WI']",,
3929,default,judging others based on politics,No,56,Yes,none,4,Female,7,none,,Dem,0.21,0,0,0,0,0,0,,1,FL,"['FL', 'MD', 'NC']",n/a,
3829,default,Preconceived ideas about people based on stated political party.,No,67,Yes,,4,Female,4,,,Dem,0.07,0,0,0,0,0,0,,1,UT,['UT'],,
3998,default,What people think about political parties.,No,41,Yes,None,3,Female,2,,,Dem,0.03,1,0,0,0,0,0,,0,CA,"['CA', 'MI', 'RI']",,
3843,default,Perceptions of others' opinions based on party affiliation.,Yes,26,Yes,,2,Male,2,,,Dem,0.34,0,0,0,1,0,0,,1,LA,['LA'],New Orleans,
3778,default,How people judge people on what they believe and then try to anticipate how they will think in the future,Yes,45,Yes,Thank You,-1,Male,2,none,,Lib,0.4,0,0,0,0,0,0,,1,CA,"['CA', 'MO']",country,
3922,default,"How we gauge people's qualities and the degree to which they believe their own statements based on their political affiliation, gender, race, and age.",Yes,39,Yes,It was interesting and ran smoothly.,2,Male,3,N/A,Socialist,-1,0,0,0,0,0,0,0,,1,OR,"['CA', 'ME', 'OR', 'VA']",California,
3851,default,Bias,No,36,Yes,Thank you,3,Male,6,English,,Lib,0.63,0,0,0,0,0,0,,1,WA,"['AL', 'MD', 'OR', 'TX', 'WA']",,
3855,default,Studying people's perceptions of others based on political beliefs.,No,22,Yes,N/A,2,Female,3,Spanish,,Dem,0.28,0,0,0,1,0,0,,1,TX,['TX'],N/A,
3777,default,,No,21,Yes,,3,Male,3,,,Rep,0.51,0,0,0,0,0,0,,1,CO,['CO'],,
3781,default,Judging and perceiving others on language used and the way stuff is worded in relation to political leanings.,Yes,32,Yes,NA,2,Female,0,NA,,Rep,0.98,0,0,0,0,0,0,,1,GA,['GA'],Southern,
3905,default,Peoples political leanings nd opinions based on it.,No,27,Yes,,1,Female,2,spanish,,Dem,0.2,0,0,0,1,0,0,,0,FL,['FL'],,
3871,default,politics,No,40,Yes,,3,Male,2,,,Dem,0.12,0,0,0,0,0,0,,1,MI,['MI'],,
3913,default,Not sure,Yes,56,Yes,none,2,Female,2,none,,Rep,0.49,0,0,0,0,0,0,,1,OK,['OK'],Southern,
3899,default,perceptions of people,Yes,34,Yes,,3,Female,6,,,Dem,0.22,0,0,0,0,0,0,,1,MA,"['MA', 'RI']",boston,
3938,default,Perceptions of political beliefs based on gender or race related comments,No,44,Yes,,3,Male,4,,,Dem,0.08,0,0,0,0,0,0,,1,WI,['WI'],,
3909,default,How are impressions of others play into our perceptions of their political beliefs. ,No,24,Yes,Part 3 of the experiment was a little confusing.,3,Female,0,n/a,,Dem,0.12,0,1,0,0,0,0,,0,TN,"['AL', 'TN']",n/a,
3940,default,The accuracy with which we can predict others' thoughts on social/political issues based on their party and race,Yes,27,Yes,,4,Female,1,,Democratic Socialists of America,Other,0,0,0,0,0,0,0,,1,TN,['DE'],Southern,
3782,default,How people perceive what parties beleive in along with influence from their personal looks.,No,23,Yes,n/a. Keep up the great work! :),3,Male,4,n/a,,Lib,0.48,0,0,0,0,0,0,,1,TX,['OH'],n/a,
3776,default,I think it's about how we feel about political parties and people in the parties and what our assumptions are,No,23,Yes,,3,Female,3,Spanish,,Dem,0,0,0,0,1,0,0,,1,FL,['FL'],,
3951,default,Making decisions without all the information ,Yes,24,Yes,Text planes kept saying “undefined” instead of having finished sentences. It was confusing as to what to do.,3,Female,0,,,Dem,0.28,0,0,0,0,0,0,,1,CA,['CA'],Canadian or British,
3854,default,how people perceive others based on their political beliefs ,Yes,33,Yes,,3,Female,5,n/a,,Dem,0.11,0,0,0,0,0,0,,1,NY,"['NJ', 'NY']",Brooklyn,
4003,default,Perception of individual's beliefs and traits in relation to their political affiliation.,No,27,Yes,,3,Male,1,,,Rep,0.68,0,0,0,0,0,0,,1,TX,['TX'],,
3933,default,political assumptions,No,38,Yes,,1,Male,2,none,,Rep,0.8,0,0,0,0,0,0,,1,NY,['NY'],,
3902,default,See if political party affiliation affects how a statement is understood by the reader. ,No,31,Yes,,3,Male,4,,,Lib,0.77,0,0,0,0,0,0,,1,MA,['MA'],,
3946,default,political beliefs and impressions of other.,No,27,Yes,,4,Female,5,Chinees,,Dem,0.39,1,0,0,0,0,0,,0,CA,['CA'],,
3798,default,Political differences.,Yes,60,Yes,,1,Female,2,,,Rep,0.76,0,0,0,0,0,0,,1,MD,['MD'],hillbilly,
3763,default,I don't know,No,23,Yes,,0,Female,2,None,,Dem,0.14,0,0,0,0,0,0,,1,SC,['SC'],,
3785,default,How you view people who say they are part of a political party and if you believe the information they give you.,Yes,26,Yes,n/a,3,Female,1,n/a,,Green,0,0,0,0,0,0,0,,1,CA,"['CA', 'DE', 'PA']",Philly/Valley girl,
3975,default,HOw we understand political discourse,No,31,Yes,,4,Other,0,,,Dem,0,0,0,0,0,0,0,,1,MT,,,
4009,default,How we perceive others based on their politics.,No,34,Yes,,3,Male,1,,,Dem,0,0,0,0,0,0,0,,1,OR,"['CA', 'OR']",,
3773,default,"It was interesting, though I'm not sure what you were testing.",Yes,31,Yes,,3,Male,0,,,Dem,0,0,0,0,1,1,0,,1,GA,['GA'],Southern/Georgian,
3882,default,Political presumptions and grammatical ambiguities.,No,24,Yes,,3,Male,4,,,Dem,0.03,0,0,0,0,0,0,,1,CA,['CA'],,
3789,default,Trying to stereotype types and ideology,Yes,69,Yes,,4,Female,5,spanish,,Dem,0.02,0,0,0,0,0,0,,1,FL,"['CA', 'FL', 'HI', 'MA', 'NV', 'NY', 'TN', 'VT']",Boston,
3939,default,no idea,No,30,Yes,,4,Male,5,,,Dem,0,0,0,0,0,0,0,,1,VA,"['FL', 'IL', 'VA']",,
3906,default,I don't know,No,70,Yes,Part three was confusing. I tried to believed what the person was quoted as saying despite what political party or age group they belonged to.,3,Male,1,,,Rep,0.55,0,0,0,0,0,0,,1,MI,['MI'],,
4001,default,perception of people,No,27,Yes,,3,Male,5,,,Dem,0.31,0,1,0,0,0,0,,0,NY,"['MA', 'NY']",,
3831,default,,No,49,Yes,,3,Male,3,,,Dem,0.26,0,0,0,0,0,0,,1,MI,['MI'],,
3911,default,Assumptions of political views based on appearance and party,No,23,Yes,"Some of the phrases were oddly written, even to a native English speaker.",2,Male,3,Non,,Dem,0.39,0,0,0,0,0,0,,1,NE,['NE'],N/A,
3974,default,Understanding peoples opinions and judgements about political beliefs during conversations.,No,23,Yes,,3,Female,4,,Independent ,Other,0.59,1,1,0,0,1,0,,1,KY,['KY'],,
3786,default,People's different political beliefs.,No,40,Yes,I have none.,1,Male,0,,,Dem,0.01,0,0,0,0,0,0,,1,FL,['NY'],,
3886,default,What you think about people based on their political beliefs ,Yes,29,Yes,,3,Female,4,None,None,Other,0.34,0,0,0,1,0,0,,1,FL,['FL'],Miami,
3981,default,Impressions,Yes,24,Yes,Thank you!,2,Female,2,None,,Lib,0.5,0,1,0,0,0,0,,0,GA,['GA'],Country,
3838,default,"Forming impressions of people based on their political affiliations, opinions, and demographics.",No,53,Yes,,3,Male,5,none,,Dem,0.4,0,0,0,0,0,0,,1,PA,['PA'],,
3934,default,It might be about bias and how we interpret what people say based on preconceived notions.,No,55,Yes,Thank you. That  was interesting.,3,Female,3,,,Dem,0.35,0,0,0,0,0,0,,1,SC,"['SC', 'UT']",,
3758,default,political beliefs and people's perception of other individuals with certain beliefs,No,25,Yes,,3,Female,1,,,Dem,0.31,0,0,0,0,0,0,,1,KS,"['KS', 'MI', 'NV']",,
3875,default,Interpreting others' political opinions,No,26,Yes,,3,Female,6,,,Dem,0.09,0,0,0,0,0,0,,1,IL,['IL'],,
3792,default,speech patterns and meaning,Yes,34,Yes,,3,Female,0,spanish,,Green,0.3,0,0,0,1,0,0,,1,FL,"['FL', 'LA', 'MA', 'NY']","northern/new england/""boston""",
3892,default,"How people perceive the opinions and characteristics of others based on their political affiliation, gender, and race?",No,54,Yes,,4,Male,7,None,,Dem,0.14,0,0,0,0,0,0,,1,VA,"['CO', 'IA', 'LA', 'MI', 'VA', 'WI']",,
3783,default,To understand what people think about today's politics.,No,24,Yes,Great!,3,Male,2,,,Dem,0.46,0,0,0,0,0,0,,1,MI,['MI'],,
3984,default,Seeing our opinion other's political leanings to gauge our own.,No,23,Yes,Thank you for letting me participate. ,2,Male,0,Filipino,Independent,Other,0,1,1,0,0,0,0,,0,MS,['MS'],,
3821,default,processing information based on preconceived notions and political leanings,Yes,45,Yes,,2,Female,0,,,Dem,0.01,0,0,0,0,0,0,,1,IA,"['AZ', 'GA', 'IA']",midwestern,
3968,default,I think that this experiment was trying to measure people's perceptions on people that are from different political parties. The study wanted to see how different political ideologies were viewed upon by random people.,No,19,Yes,This was an interesting study that was interactive!,1,Male,5,,,Rep,0.68,0,0,0,0,0,0,,1,MN,['MN'],,
3832,default,To see how divided on the issues people think others are.,No,32,Yes,None.,3,Male,2,,,Dem,0.25,0,0,0,0,0,0,,1,FL,['FL'],,
3755,default,Swaying of political party and opinion based on what a person looks like,Yes,58,Yes,,2,Female,2,Polish,,Dem,0.8,0,0,0,0,0,0,,1,FL,['IL'],Northern,
3809,default,peoples perceptions of others politics based on stereotypes,No,35,Yes,,2,Male,3,,,Green,0,0,0,0,0,0,0,,1,TX,['TX'],,
3844,default,unconscious bias in political discussion,Yes,46,Yes,,4,Male,5,,,Rep,0.89,0,0,0,0,0,0,,1,OH,"['LA', 'OH', 'TX']",texas,
3775,default,Political biases,No,45,Yes,,3,Female,5,,,Dem,0.02,0,0,0,0,0,0,,1,OH,"['MI', 'NV', 'OH']",,
3999,default,,No,32,Yes,,1,Male,2,Serbian ,,Other,0.46,0,0,0,0,0,0,,1,IL,['IL'],,
3762,default,judgements made about beliefs based on political party affiliation,No,20,Yes,,2,Female,7,none,,Dem,0.09,0,0,0,0,0,0,,1,TN,"['MI', 'SC', 'TN', 'TX']",,
3801,default,How people label others,No,72,Yes,,2,Female,7,none,,Dem,0.01,0,0,0,0,0,0,,1,IA,,,
3897,default,to see how people make judgments based on little information ,No,27,Yes,N/A,1,Female,1,N/A,,Dem,0.39,0,0,0,0,0,0,,1,VA,['VA'],N/A,
3889,default,no idea,No,34,Yes,,4,Male,3,none,,Dem,0.06,0,0,0,0,0,0,,1,GA,['GA'],,
3919,default,my perception about the opinion others have based on their political preferences ,No,45,Yes,,3,Male,3,none,,Dem,0.11,0,0,0,0,0,0,,1,NY,['NJ'],,
3885,default,perceptions of people based on their political views,No,28,Yes,,3,Female,5,N/A,,Dem,0.31,0,0,0,0,0,0,,1,FL,['FL'],,
3883,default,Judging people based on their political party.,No,46,Yes,none,2,Male,1,none,,Dem,0,0,0,0,0,0,0,,1,ND,"['NY', 'ND']",,
3964,default,The experiment was about political decision making.,No,37,Yes,No comments. ,4,Male,6,,,Dem,0.85,0,0,0,0,0,0,,1,NY,['NY'],,
3791,default,To see if i have assumptions about a person based on their ;political identification,No,48,Yes,,3,Female,4,,,Dem,0,0,0,0,0,0,0,,1,MO,['MO'],,
3997,default,political party bias,No,29,Yes,,3,Female,4,,,Dem,0.08,0,0,0,0,0,0,,1,AZ,['AZ'],,
3962,default,I'm not really sure,No,54,Yes,,2,Female,0,,,Dem,0,0,1,0,0,0,0,,1,CA,['CA'],,
3839,default,Seeing how people get judged based off of their political views,No,20,Yes,,1,Female,3,,,Dem,0.03,0,0,0,0,0,0,,1,MO,['MO'],,
3973,default,Political beliefs based on appearances. ,No,28,Yes,,1,Male,1,,,Dem,0.19,0,0,0,0,0,0,,1,GA,['GA'],,
3953,default,,No,22,Yes,,3,Male,2,,,Dem,0.48,0,0,0,0,0,0,,1,TX,['TX'],,
3979,default,Initial impressions / certainty of someone's beliefs based on framing and limited information.,No,31,Yes,,3,Male,0,,,Dem,0.08,0,0,0,0,0,0,,1,WA,['WA'],,
3896,default,The stereotypes of republican/democratic people (based on how they look & their views),Yes,23,Yes,,3,Female,4,Vietnamese,,Dem,0.16,1,0,0,0,0,0,,0,AL,"['AL', 'FL']",southern,
3790,default,perceptions of others based on my political bias,No,74,Yes,the 3rd section made a surprising use of the negative...had to carefully read and double check comment to assessment,3,Male,6,n/a,,Dem,0.16,0,0,0,0,0,0,,1,,['CA'],n/a,
3954,default,I'm not sure,Yes,37,Yes,n/a,3,Female,5,n/a,,Dem,0.14,0,0,0,0,0,0,,1,KY,"['AL', 'FL', 'GA', 'KY', 'TN']",I dont think i have one,
4010,default,to how people preceive other peoples statements and political beliefs,No,45,Yes,"everything was good and i enjoyed taking it, it was interesting",1,Male,3,none,,Dem,0.17,0,0,0,0,0,0,,1,TN,"['PA', 'TN']",N/A,
3837,default,The way people look and their political views ,Yes,2o,Yes,,3,Female,5,Spanish ,,Dem,0.55,0,0,0,1,0,0,,0,NY,['NY'],Brooklyn ,
3970,default,Perception of people's political party and their potential bias,No,30,Yes,,3,Male,2,,,Dem,0,0,0,0,0,0,0,,1,CA,"['CA', 'NJ']",,
3867,default,"If I have to guess, it is to gauge how participants view other people in light of their political affiliation.",No,32,Yes,I enjoyed participating; largely because of how varied the three sections were.,3,Male,3,N/A,,Dem,0.11,0,0,0,0,0,0,,1,IL,['IL'],N/A,
3807,default,questions about beliefs/opinions,Yes,30,Yes,great survey,2,Male,1,spanish,,Dem,0.51,0,0,0,1,0,0,,0,IL,['IL'],not sure,
3920,default,How we view people with differing/similar political beliefs,Yes,20,Yes,,1,Female,1,,,Dem,0.06,0,0,0,0,0,0,,1,MD,['VA'],Southern,
4005,default,"To determine if participants will face-read your fellow university student models to try to gauge the attributes you've tasked us to set.
And.. ..like, to determine fluency of language in deciphering certain.. ..'unusual' constructions.

:-)",Yes,39,Yes,"Did I misinterpret an instruction?
When you asked me to determine whether a given model was a republican or a democrat, when the person's stated affiliation was given under their headshot?
Was I supposed to go with my own preferential stereotyping instead?",2,Male,1,none,Probably a mixture of several,-1,0.5,0,1,0,0,0,0,,0,MD,['MD'],Depends on the day,
3824,default,language perception,No,25,Yes,,2,Male,4,,,Dem,0,0,1,0,0,0,0,,0,MI,['MI'],,
3840,default,To see based on ones political stance how they would rate others with any bias.,No,53,Yes,,3,Male,0,,,Lib,0.65,0,0,0,1,0,0,,1,NY,"['NY', 'VA']",,
3823,default,im not sure,No,33,Yes,,4,Female,3,,,Dem,0.4,0,0,0,0,0,0,,1,CO,"['CA', 'CO']",,
3884,default,I don't know,No,35,Yes,"Everything loaded correctly for me, and the instructions were clear",4,Female,4,,,Dem,0.44,0,0,0,0,0,0,,1,CO,"['CO', 'IL', 'NC', 'TN']",,
3757,default,I am unsure,No,23,Yes,,2,Other,1,N/A,,Dem,0,0,0,0,0,1,0,,1,OK,['OK'],N/A,
3793,default,Judging people's views by how they say something.,Yes,44,Yes,"I'm curious how others interpreted the language used in certain questions. Also, I may not have pushed the slider all the way to answer one of the attention check questions (the one about elections being in November). ",3,Male,4,English,,Dem,0.21,0,0,0,0,0,0,,1,CT,"['CT', 'NY']",North Eastern/New England,
3830,default,how people's political affiliations and backgrounds affect their views and judgements of others / different political opinions and beliefs. ,No,22,Yes,,2,Female,1,none,marxist communist,Other,0.03,0,0,0,0,0,0,,1,LA,,none,
3826,default,How my political view is on certain people and if it affects my judgement.,No,21,Yes,,2,Female,0,,,Dem,0.37,0,1,0,0,0,0,,0,CA,['CA'],,
3788,default,Rating traits based on political orientation,No,34,Yes,,3,Male,4,,,Dem,0.02,0,0,0,0,0,0,,1,AZ,"['AZ', 'FL', 'MA']",,
4004,default,How we judge others based on their beliefs and how they look. ,No,31,Yes,,3,Female,2,Spanish,,Dem,0.14,0,0,0,1,0,0,,0,IL,"['IA', 'MA', 'NE']",,
4000,default,no idea,No,39,Yes,,1,Male,1,,socialist,Other,0.2,0,0,0,0,0,0,,1,OH,"['MD', 'OH']",,
3935,default,I don't know,No,52,Yes,,2,Male,1,,,Dem,0.37,0,0,0,0,0,0,,1,NV,"['CA', 'NV', 'OH']",,
3887,default,political opinions and affiliations,No,56,Yes,interesting,3,Female,-1,,,Green,0.27,0,0,0,0,0,0,,1,FL,['FL'],,
3770,default,Comparing a person's wording to their meaning based on political affiliation. ,No,61,Yes,,4,Male,5,Croation,Social Democrat,Other,0.01,0,0,0,0,0,0,,1,WI,"['CA', 'IN', 'MI', 'NY', 'OH', 'WI']",,
3916,default,"I think this experiment is researching how American voters view each other based on party affiliation. Partisanship has reached an all-time high in the US, and has been a hot button topic since Trump became President and subsequently lost to Biden.",No,31,Yes,,3,Female,2,,,Dem,0.22,0,1,0,0,0,0,,1,WA,['WA'],,
3898,default,Type casting beliefs,Yes,77,Yes,none,2,Male,1,None,,Dem,0.36,0,0,0,0,0,0,,1,WA,"['AZ', 'AR', 'CA', 'CO', 'TX', 'WA']",Texas,
3797,default,How people interpret information from others and potential bias toward the two main political parties.,No,46,Yes,no comments,3,Male,1,,,Lib,0.59,0,0,0,0,0,0,,1,OH,['OH'],,
3996,default,Gauging political stances based on gender and race,No,30,Yes,,3,Male,1,,,Rep,0.7,0,0,0,0,0,0,,1,IL,['IL'],,
3873,default,"My opinion about the people political beliefs, and their impressions on things.",No,37,Yes,very interesting,2,Male,3,na,independent,-1,0.5,0,1,0,1,1,0,,0,TX,['TX'],na,
3858,default,Seeing if people are swayed to believe what people say based on their political affiliation. ,No,51,Yes,"I give people the benefit of the doubt, I try not to assume how people are based on what political party they vote for.",3,Female,1,n/a,,Rep,0.58,0,0,0,0,0,0,,1,WI,['WI'],n/a,
3944,default,"Not sure, sorry",Yes,,Yes,In the third section the names didn't match up (what was being said by who) and the wording was very confusing (not sure if that was intentional or not,2,Female,0,N/A,,Dem,0,0,0,0,0,0,0,,1,OH,"['NC', 'OH']","""Akron A"" (northern ohio)",
3822,default,judging others,No,43,Yes,,3,Male,3,na,,Lib,0.57,1,0,0,0,0,0,,1,CA,['CA'],,
3842,default,Interpreting meaning behind words in partisan opposites?,No,51,Yes,"Part 3 was hard - ""didn't hear"" is ambiguous. ",4,Female,3,,,Dem,0.06,0,0,0,0,0,0,,1,WA,"['CA', 'HI', 'WA']",,
3942,default,I don't know.,No,46,Yes,,1,Female,0,,,Dem,0,0,0,0,0,0,0,,1,NY,['NY'],,
4008,default,Stereotypes based upon appearances.,No,52,Yes,,3,Male,4,None,,Rep,0.72,0,0,0,0,0,0,,1,IN,['IN'],,
3910,default,Opinion of others opinions about politics,No,58,Yes,none,2,Female,2,none,,Rep,0.11,0,0,0,0,0,0,,1,TX,['CA'],,
4006,default,First impressions of people based on their political stance,No,23,Yes,,1,Male,2,,,Dem,0.39,0,1,0,0,0,0,,0,PA,['PA'],,
3890,default,Views on political issues.,Yes,57,Yes,,3,Female,1,None,,Rep,1,0,1,0,0,0,0,,0,FL,['VA'],Southern,
3948,default,politics,No,27,Yes,,3,Male,2,,,Rep,0,0,0,0,0,0,0,,1,TX,['TX'],,
3993,default,"How people assume others think or judge others based on political affiliations, gender, race, and appearance.",No,24,Yes,,3,Male,5,None,Progressives,Other,0,0,0,0,0,0,0,,1,CA,['CA'],,
3780,default,opinions in politics,No,18,Yes,,2,Female,4,,,Dem,0.67,0,0,0,0,0,0,,0,CA,['CA'],,
3870,default,First impressions of people based on their political parties. ,No,25,Yes,,3,Female,3,,,Green,0.49,0,0,0,0,0,0,,1,AZ,['AZ'],,
3804,default,"Association between our perception of people based on age, race, political party, and beliefs?",No,28,Yes,,3,Female,0,,,Rep,0.62,1,0,0,0,0,0,,0,CA,['CA'],,
3961,default,not sure,No,65,Yes,,4,Male,4,,,Rep,0.92,0,0,0,0,0,0,,1,CT,"['CT', 'NY']",,
3845,default,Language interpretation,No,65,Yes,That was quite different and interesting. Thank you for allowing me to participate. Best wishes for the success of your research!,3,Female,0,none,Independents,Other,0.48,0,0,0,0,0,0,,1,TX,"['TX', 'VA']",,
3879,default,How people identify politically and how they view others based on their politics,No,19,Yes,fun study!,2,Female,3,,,Dem,0.03,0,0,0,0,1,0,,1,MN,['MN'],,
3978,default,perception,No,48,Yes,none,2,Male,2,none,independent,Other,0.03,0,0,0,0,0,0,,1,IL,['IL'],none,
3795,default,influence of political bias on perceptions of others' own biases and intelligence,No,28,Yes,,4,Male,3,,,Dem,0.21,0,0,0,0,0,0,,1,NY,['NY'],,
3965,default,political stereotypes,No,47,Yes,,2,Female,0,,,Dem,0.28,0,0,0,0,0,0,,1,KY,"['IL', 'IA', 'KY']",,
3924,default,unsure,No,50,Yes,,2,Female,0,none,,Dem,0.04,0,0,0,0,0,0,,1,OH,['OH'],na,
3846,default,I think to assess how we interpret people based on their political stance.,No,51,Yes,,3,Female,5,English,,Dem,0.02,0,0,0,0,0,0,,1,WI,['WI'],,
3799,default,Not sure. Maybe how well we interpret political statements by people when we know their political party?,Yes,45,Yes,Good luck with your research.,2,Female,5,N/A,,Rep,0.5,0,0,0,0,0,0,,1,TX,"['FL', 'TX']",Southern (Texan),
3963,default,The experiment was about political decision making.,No,36,Yes,No comments. ,4,Male,6,,,Dem,0.89,0,0,0,0,0,0,,1,TX,['TX'],,
3923,default,Perceptions/assumptions of people based on their appearance and political party. ,No,22,Yes,,2,Male,0,,Independents ,Other,0.45,0,0,0,0,0,0,,1,TX,,,
3878,default,Interpretation of position statements in reference to one's own views,No,57,Yes,,4,Female,6,,None of them,Other,0.02,0,0,0,0,0,0,,1,IL,"['CA', 'CT', 'IL', 'MD', 'MA', 'NY', 'TX']",,
3956,default,Political assumptions,No,49,Yes,,2,Female,2,none,,Dem,0.36,0,1,0,0,0,0,,0,IL,['IL'],,
3816,default,"This survey is about political beliefs, people's impressions and the meaning of statements.",No,36,Yes,No comments,3,Male,3,Ireland,,Rep,0.61,0,0,0,0,0,0,,1,,['OK'],,
3969,default,I don't know.,No,29,Yes,,3,Male,2,None,,Dem,0,0,0,0,0,0,0,,1,NC,['NC'],None,
3912,default,no idea,No,23,Yes,,2,Male,0,,,Rep,0.51,0,1,0,0,0,0,,0,NY,,,
3760,default,"How people perceive other people's intelligence, etc., based on whether they think they'll agree with them politically and so on, and probably associated with age and gender and so on.",Yes,1987,Yes,"Just an FYI that I currently live in Wisconsin (in the demographic information), but I haven't lived here for a year yet, so I didn't include it in the list of states I have lived in for a year or more.",4,Male,0,,I'm an anarchist,Other,0,0,0,0,0,0,0,,1,WI,"['MI', 'OR', 'WA']",regional (US rural western),
