"workerid","proliferate.condition.x","CC","SpeakerGender","block1","file","item_type","list","list_genderMaxes","list_whichSpPoliticsFirst","matrix_clause","name","orientation","participant_beliefs","predicate","rt_block1","slide_number_block1","socialInfo","speakerGendersMaxes","topic","whichSpPoliticsFirst","assertiveness_rating","block2","democrat_rating","empathy_rating","femininity_rating","intelligence_rating","republican_rating","rt_block2","slide_number_block2","spBelief_rating","block3","projection","rt_block3","slide_number_block3","true_false","trial","proliferate.condition.y","about","accent","age","american","comments","education","gender","income","language","otherParty","party","politics","race_asian","race_black","race_hawaiian","race_latino","race_native","race_otherRaceCheck","race_otherRaceText","race_white","state","state1year","whichAccent","error"
3862,"default","medicaid is underfunded","M","block1","M-R-Jason.png","critical","list2","list2_1","list2_R","Allison didn't acknowledge","Jason","liberal",0.99,"acknowledge",3580,14,"R",1,"medicaid","R",0.66,"block2",0,0.2,0.08,0.09,1,15260,33,0.08,"block3",0,12117,41,NA,11,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","the rich are taxed too much","F","block1","F-R-Lily.png","MC","list2","list2_1","list2_R",NA,"Lily","conservative",0.01,NA,4019,15,"R",1,"taxes","R",0.68,"block2",0,0.09,0.5,0.26,1,27578,21,0.85,"block3",0.87,4189,45,NA,12,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","Trump handled the pandemic well","M","block1","M-D-James.png","critical","list2","list2_1","list2_R","Danny didn't suggest that","James","conservative",0,"suggest",3020,16,"D",1,"Trump_pandemic","R",0.47,"block2",1,0.76,0.28,0.66,0,17777,36,0,"block3",0,4699,59,NA,13,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","the military is underfunded","F","block1","F-R-Sarah.png","critical","list2","list2_1","list2_R","Emma didn't pretend that","Sarah","conservative",0,"pretend",4419,17,"R",1,"military","R",0.72,"block2",0,0.02,0.12,0.07,1,20614,22,0.62,"block3",0.01,5988,49,NA,14,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","U.S. presidential elections are held in November",NA,"block1","NA.png","O","list2","list2_1","list2_R",NA,NA,NA,1,NA,4497,18,NA,1,"elections","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","immigrants support the economy","M","block1","M-D-Daniel.png","critical","list2","list2_1","list2_R","Ben didn't suggest that","Daniel","liberal",1,"suggest",4141,19,"D",1,"immigrants","R",0.58,"block2",1,0.68,0.05,0.69,0,17606,25,0.87,"block3",0,6813,51,NA,16,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3977,"default","the 2020 election was rigged","M","block1","M-R-Ryan.png","critical","list1","list1_2","list1_R","Jen didn't suggest that","Ryan","conservative",0.03,"suggest",7765,4,"R",2,"2020_election","R",0.92,"block2",0.03,0.22,0.22,0.79,0.97,37155,26,0.87,"block3",0.25,8263,50,NA,1,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","it is too difficult to buy guns","F","block1","F-D-Elizabeth.png","critical","list1","list1_2","list1_R","Owen didn't say that","Elizabeth","conservative",0.24,"say",7389,5,"D",2,"gun_laws","R",0.58,"block2",0.97,0.72,0.71,0.7,0,39685,23,0.71,"block3",0.22,14576,55,NA,2,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","it is too easy to get an abortion","F","block1","F-R-Sarah.png","critical","list1","list1_2","list1_R","Grace doesn't know that","Sarah","conservative",0.17,"know",5055,6,"R",2,"abortion","R",0.77,"block2",0.02,0.39,0.54,0.49,0.97,57318,21,0.7,"block3",0.7,8201,45,NA,3,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","the uprising at the Capitol was domestic terrorism","M","block1","M-D-Tim.png","critical","list1","list1_2","list1_R","Glenn didn't say that","Tim","liberal",0.98,"say",4226,7,"D",2,"capitol_uprising","R",0.72,"block2",0.98,0.78,0.06,0.88,0,33124,32,0.98,"block3",0.91,9749,43,NA,4,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","Trump's policies damaged the American economy","F","block1","F-D-Anna.png","critical","list1","list1_2","list1_R","Tony didn't admit that","Anna","liberal",0.63,"admit",5358,8,"D",2,"Trump_economy","R",0.54,"block2",1,0.81,0.64,0.87,0,45109,27,0.75,"block3",0.98,8344,44,NA,5,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","COVID is a dangerous virus","F","block1","F-R-Donna.png","critical","list1","list1_2","list1_R","Mary doesn't know that","Donna","liberal",0.96,"know",3625,9,"R",2,"COVID","R",0.68,"block2",0.02,0.53,0.68,0.76,0.96,39506,28,0.92,"block3",0.98,6937,57,NA,6,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","the minimum wage is too high","F","block1","F-D-Lisa.png","critical","list1","list1_2","list1_R","Ken didn't admit that","Lisa","conservative",0.02,"admit",3930,10,"D",2,"minimum_wage","R",0.69,"block2",0.98,0.75,0.77,0.78,0.01,31766,24,0.08,"block3",0.98,14249,39,NA,7,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","the military is overfunded","F","block1","F-R-Kimberly.png","critical","list1","list1_2","list1_R","Emma didn't suggest that","Kimberly","liberal",0.84,"suggest",4023,11,"R",2,"military","R",0.77,"block2",0.03,0.43,0.76,0.86,0.96,32734,29,0.29,"block3",0.46,20462,54,NA,8,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","Trump handled the pandemic badly","M","block1","M-D-Daniel.png","critical","list1","list1_2","list1_R","Danny isn't annoyed that","Daniel","liberal",0.98,"be_annoyed",3771,12,"D",2,"Trump_pandemic","R",0.78,"block2",0.97,0.74,0.04,0.89,0,31242,35,0.96,"block3",0.98,11375,48,NA,9,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","immigrants steal jobs from Americans","M","block1","M-D-James.png","critical","list1","list1_2","list1_R","Ben isn't annoyed that","James","conservative",0.14,"be_annoyed",3508,13,"D",2,"immigrants","R",0.79,"block2",0.96,0.65,0.04,0.82,0,30405,30,0.19,"block3",0.83,11225,52,NA,10,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","closing businesses during COVID was necessary","F","block1","F-D-Veronica.png","MC","list1","list1_2","list1_R",NA,"Veronica","liberal",0.84,NA,5577,14,"D",2,"lockdown","R",0.86,"block2",0.98,0.75,0.7,0.89,0.02,29204,31,0.81,"block3",0.94,7499,47,NA,11,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","U.S. presidential elections are held in November",NA,"block1","NA.png","O","list1","list1_2","list1_R",NA,NA,NA,0.98,NA,5352,15,NA,2,"elections","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","medicaid is overfunded","M","block1","M-R-Michael.png","critical","list1","list1_2","list1_R","Allison didn't confess that","Michael","conservative",0.2,"confess",7016,16,"R",2,"medicaid","R",0.72,"block2",0.01,0.45,0.14,0.72,0.96,27820,25,0.72,"block3",0.99,24164,38,NA,13,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","the rich are taxed too little","F","block1","F-R-Lily.png","MC","list1","list1_2","list1_R",NA,"Lily","liberal",0.97,NA,3421,17,"R",2,"taxes","R",0.51,"block2",0.77,0.53,0.71,0.96,0.14,38048,33,0.85,"block3",0.98,5601,49,NA,14,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","mask mandates are necessary","M","block1","M-R-Anthony.png","critical","list1","list1_2","list1_R","Wendy didn't confess that","Anthony","liberal",0.98,"confess",4226,18,"R",2,"masks","R",0.7,"block2",0.02,0.33,0.14,0.31,0.98,64768,22,0.15,"block3",0.66,8118,58,NA,15,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3977,"default","the capital of the US is in Ohio",NA,"block1","NA.png","O","list1","list1_2","list1_R",NA,NA,NA,0.01,NA,6671,19,NA,2,"capital","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"default","How race, appearance, and political orientation may bias perception","Yes",73,"Yes","None",4,"Male",5,"None",NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['VA']","Southern",NA
3863,"default","COVID is an overhyped virus","F","block1","F-R-Amy.png","critical","list2","list2_2","list2_R","Mary didn't say that","Amy","conservative",0.12,"say",6905,4,"R",2,"COVID","R",0.54,"block2",0,0.46,0.42,0.53,0.99,32925,23,0.74,"block3",0.51,3012,58,NA,1,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","closing businesses during COVID was unnecessary","F","block1","F-D-Veronica.png","MC","list2","list2_2","list2_R",NA,"Veronica","conservative",0.21,NA,9749,5,"D",2,"lockdown","R",0.59,"block2",1,0.39,0.72,0.48,0,22259,28,0.16,"block3",1,7893,53,NA,2,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","the 2020 election was legitimate","F","block1","F-R-Sarah.png","critical","list2","list2_2","list2_R","Jen doesn't know that","Sarah","liberal",0.91,"know",4171,6,"R",2,"2020_election","R",0.37,"block2",0,0.36,0.49,0.33,1,18813,32,0.25,"block3",1,10095,40,NA,3,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","it is too hard to get an abortion","F","block1","F-R-Kimberly.png","critical","list2","list2_2","list2_R","Grace didn't say that","Kimberly","liberal",0.78,"say",7668,7,"R",2,"abortion","R",0.66,"block2",0,0.36,0.53,0.64,1,14816,36,0.17,"block3",0.53,10100,50,NA,4,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","the rich are taxed too much","F","block1","F-R-Lily.png","MC","list2","list2_2","list2_R",NA,"Lily","conservative",0.15,NA,3728,8,"R",2,"taxes","R",0.28,"block2",0.03,0.36,0.66,0.51,0.98,23172,27,0.73,"block3",1,5209,39,NA,5,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","immigrants support the economy","M","block1","M-D-Tim.png","critical","list2","list2_2","list2_R","Ben didn't acknowledge","Tim","liberal",0.63,"acknowledge",5687,9,"D",2,"immigrants","R",0.52,"block2",1,0.63,0.44,0.59,0,22704,24,0.72,"block3",0.83,7758,47,NA,6,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","the minimum wage is too low","F","block1","F-D-Helen.png","critical","list2","list2_2","list2_R","Ken doesn't think that","Helen","liberal",0.59,"think",4632,10,"D",2,"minimum_wage","R",0.64,"block2",1,0.69,0.71,0.72,0,18136,26,0.85,"block3",0.78,22474,38,NA,7,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","the military is underfunded","M","block1","M-R-Jason.png","critical","list2","list2_2","list2_R","Emma doesn't know that","Jason","conservative",0.26,"know",2716,11,"R",2,"military","R",0.57,"block2",0.01,0.56,0.18,0.51,0.98,30965,25,0.69,"block3",0.83,5940,43,NA,8,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","mask mandates are unnecessary","M","block1","M-R-Anthony.png","critical","list2","list2_2","list2_R","Wendy didn't pretend that","Anthony","conservative",0.2,"pretend",3295,12,"R",2,"masks","R",0.87,"block2",0.01,0.39,0.27,0.5,0.99,28868,21,0.76,"block3",0.76,16659,46,NA,9,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","the capital of the US is in Ohio",NA,"block1","NA.png","O","list2","list2_2","list2_R",NA,NA,NA,0,NA,4777,13,NA,2,"capital","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","U.S. presidential elections are held in November",NA,"block1","NA.png","O","list2","list2_2","list2_R",NA,NA,NA,1,NA,3432,14,NA,2,"elections","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","it is too easy to buy guns","M","block1","M-D-Daniel.png","critical","list2","list2_2","list2_R","Owen didn't admit that","Daniel","liberal",0.74,"admit",10143,15,"D",2,"gun_laws","R",0.72,"block2",1,0.72,0.19,0.72,0,17653,30,0.78,"block3",0.51,4644,56,NA,12,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","the uprising at the Capitol was patriotic","F","block1","F-D-Anna.png","critical","list2","list2_2","list2_R","Glenn didn't admit that","Anna","conservative",0,"admit",3792,16,"D",2,"capitol_uprising","R",0.41,"block2",1,0.55,0.58,0.41,0,23136,29,0.01,"block3",0.5,3352,54,NA,13,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","Trump's policies improved the American economy","F","block1","F-D-Lisa.png","critical","list2","list2_2","list2_R","Tony doesn't think that","Lisa","conservative",0.22,"think",6837,17,"D",2,"Trump_economy","R",0.66,"block2",1,0.67,0.71,0.63,0,16373,33,0.13,"block3",0.5,4518,51,NA,14,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","medicaid is underfunded","M","block1","M-R-Joseph.png","critical","list2","list2_2","list2_R","Allison didn't pretend that","Joseph","liberal",0.8,"pretend",2451,18,"R",2,"medicaid","R",0.37,"block2",0,0.34,0.3,0.35,1,21252,35,0.23,"block3",0.5,3159,52,NA,15,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3863,"default","Trump handled the pandemic well","M","block1","M-D-James.png","critical","list2","list2_2","list2_R","Danny didn't acknowledge","James","conservative",0,"acknowledge",2282,19,"D",2,"Trump_pandemic","R",0.63,"block2",1,0.63,0.17,0.62,0,19659,31,0,"block3",0.88,7545,41,NA,16,"default","Perceptions of others based on their political affiliation","No",33,"Yes","n/a",3,"Male",6,NA,NA,"Dem",0.24,0,0,0,0,0,0,NA,1,"ME","['ME']",NA,NA
3991,"default","it is too difficult to buy guns","F","block1","F-R-Sarah.png","critical","list1","list1_1","list1_D","Owen doesn't think that","Sarah","conservative",0.12,"think",10915,4,"R",1,"gun_laws","D",0.41,"block2",0,0.28,0.53,0.3,1,22572,29,0.18,"block3",0.38,9349,59,NA,1,"default","How people view and judge others over their political opinions.","No",18,"Yes",NA,1,"Female",2,NA,NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['TN']",NA,NA
3991,"default","Trump's policies damaged the American economy","M","block1","M-R-Ryan.png","critical","list1","list1_1","list1_D","Tony doesn't see that","Ryan","liberal",0.52,"see",5975,5,"R",1,"Trump_economy","D",1,"block2",0,0.1,0.37,0,1,23560,28,0,"block3",0.66,6340,53,NA,2,"default","How people view and judge others over their political opinions.","No",18,"Yes",NA,1,"Female",2,NA,NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['TN']",NA,NA
3991,"default","the 2020 election was rigged","M","block1","M-D-James.png","critical","list1","list1_1","list1_D","Jen didn't hear that","James","conservative",0,"hear",3078,6,"D",1,"2020_election","D",0.57,"block2",1,0.45,0.16,0.7,0,44718,32,0.23,"block3",0.94,8535,57,NA,3,"default","How people view and judge others over their political opinions.","No",18,"Yes",NA,1,"Female",2,NA,NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['TN']",NA,NA
3991,"default","closing businesses during COVID was necessary","M","block1","M-R-Eric.png","MC","list1","list1_1","list1_D",NA,"Eric","liberal",0.93,NA,6795,7,"R",1,"lockdown","D",0.56,"block2",0,0.2,0.09,0.45,1,31510,27,0.18,"block3",1,29418,38,NA,4,"default","How people view and judge others over their political opinions.","No",18,"Yes",NA,1,"Female",2,NA,NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['TN']",NA,NA
3991,"default","mask mandates are necessary","F","block1","F-D-Lisa.png","critical","list1","list1_1","list1_D","Wendy doesn't know that","Lisa","liberal",1,"know",2551,8,"D",1,"masks","D",0,"block2",1,1,1,0.35,0,26191,35,0.62,"block3",0.43,24152,39,NA,5,"default","How people view and judge others over their political opinions.","No",18,"Yes",NA,1,"Female",2,NA,NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['TN']",NA,NA
3991,"default","Trump handled the pandemic badly","F","block1","F-R-Kimberly.png","critical","list1","list1_1","list1_D","Danny didn't say that","Kimberly","liberal",1,"say",3445,9,"R",1,"Trump_pandemic","D",0.65,"block2",0,0.45,0.82,0.43,1,71001,34,0.11,"block3",0.18,8981,47,NA,6,"default","How people view and judge others over their political opinions.","No",18,"Yes",NA,1,"Female",2,NA,NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['TN']",NA,NA
3991,"default","COVID is a dangerous virus","M","block1","M-D-Daniel.png","critical","list1","list1_1","list1_D","Mary isn't annoyed that","Daniel","liberal",1,"be_annoyed",2513,10,"D",1,"COVID","D",0.63,"block2",1,0.28,0,1,0,57693,24,0.65,"block3",0.96,7002,54,NA,7,"default","How people view and judge others over their political opinions.","No",18,"Yes",NA,1,"Female",2,NA,NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['TN']",NA,NA
3991,"default","immigrants steal jobs from Americans","F","block1","F-R-Donna.png","critical","list1","list1_1","list1_D","Ben didn't say that","Donna","conservative",0.4,"say",4213,11,"R",1,"immigrants","D",0.75,"block2",0,0.26,0.84,0.53,1,24838,26,0.73,"block3",0.68,8608,44,NA,8,"default","How people view and judge others over their political opinions.","No",18,"Yes",NA,1,"Female",2,NA,NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['TN']",NA,NA
3991,"default","medicaid is overfunded","F","block1","F-D-Elizabeth.png","critical","list1","list1_1","list1_D","Allison doesn't know that","Elizabeth","conservative",0.5,"know",5285,12,"D",1,"medicaid","D",0.57,"block2",1,0.63,0.75,0.96,0,87665,33,0.3,"block3",0.79,12352,43,NA,9,"default","How people view and judge others over their political opinions.","No",18,"Yes",NA,1,"Female",2,NA,NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['TN']",NA,NA
3991,"default","the rich are taxed too little","F","block1","F-D-Veronica.png","MC","list1","list1_1","list1_D",NA,"Veronica","liberal",0.85,NA,2537,13,"D",1,"taxes","D",0.24,"block2",1,0.63,0.72,0.69,0,49389,21,0.83,"block3",1,6428,52,NA,10,"default","How people view and judge others over their political opinions.","No",18,"Yes",NA,1,"Female",2,NA,NA,"Dem",0.19,0,0,0,0,0,0,NA,1,"TN","['TN']",NA,NA
