workerid,proliferate.condition,CC,SpeakerGender,assertiveness_rating,block,democrat_rating,empathy_rating,femininity_rating,file,intelligence_rating,item_type,list,list_genderMaxes,list_whichSpPoliticsFirst,matrix_clause,name,orientation,participant_beliefs,predicate,projection,republican_rating,rt,slide_number_in_experiment,socialInfo,spBelief_rating,speakerGendersMaxes,topic,true_false,whichSpPoliticsFirst,error
3862,default,there are too few environmental laws,F,0.45,block2,1,0.81,0.78,F-D-Veronica.png,0.68,itIsT_F,list2,list2_1,list2_R,NA,Veronica,liberal,,NA,,0,19041,23,D,0.87,1,environment,,R,
3862,default,the minimum wage is too low,F,0.48,block2,1,0.8,0.42,F-D-Anna.png,0.62,critical,list2,list2_1,list2_R,Ken isn't right that,Anna,liberal,,be_right,,0,159091,24,D,0.74,1,minimum_wage,,R,
3862,default,immigrants support the economy,M,0.58,block2,1,0.68,0.05,M-D-Daniel.png,0.69,critical,list2,list2_1,list2_R,Ben didn't suggest that,Daniel,liberal,,suggest,,0,17606,25,D,0.87,1,immigrants,,R,
3862,default,it is too easy to buy guns,F,0.5,block2,0.98,0.77,0.63,F-D-Helen.png,0.7,critical,list2,list2_1,list2_R,Owen doesn't see that,Helen,liberal,,see,,0,21689,26,D,0.84,1,gun_laws,,R,
3862,default,it is too hard to get an abortion,F,0.69,block2,0,0.07,0.24,F-R-Amy.png,0.2,critical,list2,list2_1,list2_R,Grace didn't confess that,Amy,liberal,,confess,,1,18514,27,R,0.11,1,abortion,,R,
3862,default,the 2020 election was legitimate,M,0.78,block2,0,0.01,0.02,M-R-Anthony.png,0.03,critical,list2,list2_1,list2_R,Jen didn't pretend that,Anthony,liberal,,pretend,,1,17332,28,R,0.16,1,2020_election,,R,
3862,default,COVID is an overhyped virus,F,0.65,block2,0,0.08,0.24,F-R-Kimberly.png,0.09,critical,list2,list2_1,list2_R,Mary didn't confess that,Kimberly,conservative,,confess,,1,14428,29,R,0.81,1,COVID,,R,
3862,default,closing businesses during COVID was unnecessary,F,0.36,block2,0.99,0.7,0.31,F-D-Rachel.png,0.67,MC,list2,list2_1,list2_R,NA,Rachel,conservative,,NA,,0,19238,30,D,0.18,1,lockdown,,R,
3862,default,there are too many restrictions on welfare benefits,M,0.77,block2,0,0.23,0.05,M-R-Eric.png,0.31,itIsT_F,list2,list2_1,list2_R,NA,Eric,liberal,,NA,,1,19540,31,R,0.83,1,welfare,,R,
3862,default,mask mandates are unnecessary,M,0.77,block2,0,0.03,0.02,M-R-Joseph.png,0.13,critical,list2,list2_1,list2_R,Wendy didn't acknowledge,Joseph,conservative,,acknowledge,,1,17144,32,R,0.9,1,masks,,R,
3862,default,medicaid is underfunded,M,0.66,block2,0,0.2,0.08,M-R-Jason.png,0.09,critical,list2,list2_1,list2_R,Allison didn't acknowledge,Jason,liberal,,acknowledge,,1,15260,33,R,0.08,1,medicaid,,R,
3862,default,the uprising at the Capitol was patriotic,M,0.29,block2,0.98,0.8,0.2,M-D-Tim.png,0.76,critical,list2,list2_1,list2_R,Glenn doesn't see that,Tim,conservative,,see,,0,26418,34,D,0,1,capitol_uprising,,R,
3862,default,Trump's policies improved the American economy,F,0.39,block2,0.99,0.8,0.56,F-D-Elizabeth.png,0.77,critical,list2,list2_1,list2_R,Tony isn't right that,Elizabeth,conservative,,be_right,,0,33221,35,D,0.06,1,Trump_economy,,R,
3862,default,Trump handled the pandemic well,M,0.47,block2,1,0.76,0.28,M-D-James.png,0.66,critical,list2,list2_1,list2_R,Danny didn't suggest that,James,conservative,,suggest,,0,17777,36,D,0,1,Trump_pandemic,,R,
3862,default,closing businesses during COVID was unnecessary,F,,block3,,,,F-D-Rachel.png,,MC,list2,list2_1,list2_R,NA,Rachel,conservative,,NA,0.98,,20719,38,D,,1,lockdown,NA,R,
3862,default,there are too many restrictions on welfare benefits,M,,block3,,,,M-R-Eric.png,,itIsT_F,list2,list2_1,list2_R,NA,Eric,liberal,,NA,0.71,,6849,39,R,,1,welfare,true,R,
3862,default,the agenda is longer than usual today,F,,block3,,,,F-D-Michelle.png,,critical,list2,list2_1,list2_R,Ethan isn't right that,Michelle,N,,be_right,0.71,,8798,40,D,,1,agenda,NA,R,
3862,default,medicaid is underfunded,M,,block3,,,,M-R-Jason.png,,critical,list2,list2_1,list2_R,Allison didn't acknowledge,Jason,liberal,,acknowledge,0,,12117,41,R,,1,medicaid,NA,R,
3862,default,the organizers' contact info is outdated,F,,block3,,,,F-D-Lisa.png,,critical,list2,list2_1,list2_R,Noah doesn't see that,Lisa,N,,see,0.9,,8946,42,D,,1,contact,NA,R,
3862,default,the event was advertised on social media,M,,block3,,,,M-R-Ryan.png,,critical,list2,list2_1,list2_R,Chloe didn't pretend that,Ryan,N,,pretend,0.09,,12248,43,R,,1,social_media,NA,R,
3862,default,the 2020 election was legitimate,M,,block3,,,,M-R-Anthony.png,,critical,list2,list2_1,list2_R,Jen didn't pretend that,Anthony,liberal,,pretend,0,,8895,44,R,,1,2020_election,NA,R,
3862,default,the rich are taxed too much,F,,block3,,,,F-R-Lily.png,,MC,list2,list2_1,list2_R,NA,Lily,conservative,,NA,0.87,,4189,45,R,,1,taxes,NA,R,
3862,default,these events are well-organized,M,,block3,,,,M-R-Michael.png,,critical,list2,list2_1,list2_R,Leah didn't acknowledge,Michael,N,,acknowledge,0.02,,7887,46,R,,1,organized,NA,R,
3862,default,there are too few environmental laws,F,,block3,,,,F-D-Veronica.png,,itIsT_F,list2,list2_1,list2_R,NA,Veronica,liberal,,NA,0,,17728,47,D,,1,environment,false,R,
3862,default,the minimum wage is too low,F,,block3,,,,F-D-Anna.png,,critical,list2,list2_1,list2_R,Ken isn't right that,Anna,liberal,,be_right,0,,9084,48,D,,1,minimum_wage,NA,R,
3862,default,the military is underfunded,F,,block3,,,,F-R-Sarah.png,,critical,list2,list2_1,list2_R,Emma didn't pretend that,Sarah,conservative,,pretend,0.01,,5988,49,R,,1,military,NA,R,
3862,default,Trump's policies improved the American economy,F,,block3,,,,F-D-Elizabeth.png,,critical,list2,list2_1,list2_R,Tony isn't right that,Elizabeth,conservative,,be_right,0,,6369,50,D,,1,Trump_economy,NA,R,
3862,default,immigrants support the economy,M,,block3,,,,M-D-Daniel.png,,critical,list2,list2_1,list2_R,Ben didn't suggest that,Daniel,liberal,,suggest,0,,6813,51,D,,1,immigrants,NA,R,
3862,default,last month's newsletter was sent late,M,,block3,,,,M-D-John.png,,critical,list2,list2_1,list2_R,Liam didn't suggest that,John,N,,suggest,0,,9949,52,D,,1,newsletter,NA,R,
3862,default,COVID is an overhyped virus,F,,block3,,,,F-R-Kimberly.png,,critical,list2,list2_1,list2_R,Mary didn't confess that,Kimberly,conservative,,confess,0,,5778,53,R,,1,COVID,NA,R,
3862,default,it is too easy to buy guns,F,,block3,,,,F-D-Helen.png,,critical,list2,list2_1,list2_R,Owen doesn't see that,Helen,liberal,,see,0.85,,9222,54,D,,1,gun_laws,NA,R,
3862,default,the uprising at the Capitol was patriotic,M,,block3,,,,M-D-Tim.png,,critical,list2,list2_1,list2_R,Glenn doesn't see that,Tim,conservative,,see,0.24,,10296,55,D,,1,capitol_uprising,NA,R,
3862,default,it is too hard to get an abortion,F,,block3,,,,F-R-Amy.png,,critical,list2,list2_1,list2_R,Grace didn't confess that,Amy,liberal,,confess,0.11,,24031,56,R,,1,abortion,NA,R,
3862,default,the break will be shortened today,F,,block3,,,,F-R-Donna.png,,critical,list2,list2_1,list2_R,Amelia didn't confess that,Donna,N,,confess,0,,8662,57,R,,1,break,NA,R,
3862,default,mask mandates are unnecessary,M,,block3,,,,M-R-Joseph.png,,critical,list2,list2_1,list2_R,Wendy didn't acknowledge,Joseph,conservative,,acknowledge,0.32,,7278,58,R,,1,masks,NA,R,
3862,default,Trump handled the pandemic well,M,,block3,,,,M-D-James.png,,critical,list2,list2_1,list2_R,Danny didn't suggest that,James,conservative,,suggest,0,,4699,59,D,,1,Trump_pandemic,NA,R,
3977,default,the 2020 election was rigged,M,,block1,,,,M-R-Ryan.png,,critical,list1,list1_2,list1_R,Jen didn't suggest that,Ryan,conservative,0.03,suggest,,,7765,4,R,,2,2020_election,,R,
3977,default,it is too difficult to buy guns,F,,block1,,,,F-D-Elizabeth.png,,critical,list1,list1_2,list1_R,Owen didn't say that,Elizabeth,conservative,0.24,say,,,7389,5,D,,2,gun_laws,,R,
3977,default,it is too easy to get an abortion,F,,block1,,,,F-R-Sarah.png,,critical,list1,list1_2,list1_R,Grace doesn't know that,Sarah,conservative,0.17,know,,,5055,6,R,,2,abortion,,R,
3977,default,the uprising at the Capitol was domestic terrorism,M,,block1,,,,M-D-Tim.png,,critical,list1,list1_2,list1_R,Glenn didn't say that,Tim,liberal,0.98,say,,,4226,7,D,,2,capitol_uprising,,R,
3977,default,Trump's policies damaged the American economy,F,,block1,,,,F-D-Anna.png,,critical,list1,list1_2,list1_R,Tony didn't admit that,Anna,liberal,0.63,admit,,,5358,8,D,,2,Trump_economy,,R,
3977,default,COVID is a dangerous virus,F,,block1,,,,F-R-Donna.png,,critical,list1,list1_2,list1_R,Mary doesn't know that,Donna,liberal,0.96,know,,,3625,9,R,,2,COVID,,R,
3977,default,the minimum wage is too high,F,,block1,,,,F-D-Lisa.png,,critical,list1,list1_2,list1_R,Ken didn't admit that,Lisa,conservative,0.02,admit,,,3930,10,D,,2,minimum_wage,,R,
3977,default,the military is overfunded,F,,block1,,,,F-R-Kimberly.png,,critical,list1,list1_2,list1_R,Emma didn't suggest that,Kimberly,liberal,0.84,suggest,,,4023,11,R,,2,military,,R,
3977,default,Trump handled the pandemic badly,M,,block1,,,,M-D-Daniel.png,,critical,list1,list1_2,list1_R,Danny isn't annoyed that,Daniel,liberal,0.98,be_annoyed,,,3771,12,D,,2,Trump_pandemic,,R,
3977,default,immigrants steal jobs from Americans,M,,block1,,,,M-D-James.png,,critical,list1,list1_2,list1_R,Ben isn't annoyed that,James,conservative,0.14,be_annoyed,,,3508,13,D,,2,immigrants,,R,
3977,default,closing businesses during COVID was necessary,F,,block1,,,,F-D-Veronica.png,,MC,list1,list1_2,list1_R,NA,Veronica,liberal,0.84,NA,,,5577,14,D,,2,lockdown,,R,
3977,default,U.S. presidential elections are held in November,NA,,block1,,,,NA.png,,O,list1,list1_2,list1_R,NA,NA,NA,0.98,NA,,,5352,15,NA,,2,elections,,R,
3977,default,medicaid is overfunded,M,,block1,,,,M-R-Michael.png,,critical,list1,list1_2,list1_R,Allison didn't confess that,Michael,conservative,0.2,confess,,,7016,16,R,,2,medicaid,,R,
3977,default,the rich are taxed too little,F,,block1,,,,F-R-Lily.png,,MC,list1,list1_2,list1_R,NA,Lily,liberal,0.97,NA,,,3421,17,R,,2,taxes,,R,
3977,default,mask mandates are necessary,M,,block1,,,,M-R-Anthony.png,,critical,list1,list1_2,list1_R,Wendy didn't confess that,Anthony,liberal,0.98,confess,,,4226,18,R,,2,masks,,R,
3977,default,the capital of the US is in Ohio,NA,,block1,,,,NA.png,,O,list1,list1_2,list1_R,NA,NA,NA,0.01,NA,,,6671,19,NA,,2,capital,,R,
3977,default,it is too easy to get an abortion,F,0.77,block2,0.02,0.39,0.54,F-R-Sarah.png,0.49,critical,list1,list1_2,list1_R,Grace doesn't know that,Sarah,conservative,,know,,0.97,57318,21,R,0.7,2,abortion,,R,
3977,default,mask mandates are necessary,M,0.7,block2,0.02,0.33,0.14,M-R-Anthony.png,0.31,critical,list1,list1_2,list1_R,Wendy didn't confess that,Anthony,liberal,,confess,,0.98,64768,22,R,0.15,2,masks,,R,
3977,default,it is too difficult to buy guns,F,0.58,block2,0.97,0.72,0.71,F-D-Elizabeth.png,0.7,critical,list1,list1_2,list1_R,Owen didn't say that,Elizabeth,conservative,,say,,0,39685,23,D,0.71,2,gun_laws,,R,
3977,default,the minimum wage is too high,F,0.69,block2,0.98,0.75,0.77,F-D-Lisa.png,0.78,critical,list1,list1_2,list1_R,Ken didn't admit that,Lisa,conservative,,admit,,0.01,31766,24,D,0.08,2,minimum_wage,,R,
3977,default,medicaid is overfunded,M,0.72,block2,0.01,0.45,0.14,M-R-Michael.png,0.72,critical,list1,list1_2,list1_R,Allison didn't confess that,Michael,conservative,,confess,,0.96,27820,25,R,0.72,2,medicaid,,R,
3977,default,the 2020 election was rigged,M,0.92,block2,0.03,0.22,0.22,M-R-Ryan.png,0.79,critical,list1,list1_2,list1_R,Jen didn't suggest that,Ryan,conservative,,suggest,,0.97,37155,26,R,0.87,2,2020_election,,R,
3977,default,Trump's policies damaged the American economy,F,0.54,block2,1,0.81,0.64,F-D-Anna.png,0.87,critical,list1,list1_2,list1_R,Tony didn't admit that,Anna,liberal,,admit,,0,45109,27,D,0.75,2,Trump_economy,,R,
3977,default,COVID is a dangerous virus,F,0.68,block2,0.02,0.53,0.68,F-R-Donna.png,0.76,critical,list1,list1_2,list1_R,Mary doesn't know that,Donna,liberal,,know,,0.96,39506,28,R,0.92,2,COVID,,R,
3977,default,the military is overfunded,F,0.77,block2,0.03,0.43,0.76,F-R-Kimberly.png,0.86,critical,list1,list1_2,list1_R,Emma didn't suggest that,Kimberly,liberal,,suggest,,0.96,32734,29,R,0.29,2,military,,R,
3977,default,immigrants steal jobs from Americans,M,0.79,block2,0.96,0.65,0.04,M-D-James.png,0.82,critical,list1,list1_2,list1_R,Ben isn't annoyed that,James,conservative,,be_annoyed,,0,30405,30,D,0.19,2,immigrants,,R,
3977,default,closing businesses during COVID was necessary,F,0.86,block2,0.98,0.75,0.7,F-D-Veronica.png,0.89,MC,list1,list1_2,list1_R,NA,Veronica,liberal,,NA,,0.02,29204,31,D,0.81,2,lockdown,,R,
3977,default,the uprising at the Capitol was domestic terrorism,M,0.72,block2,0.98,0.78,0.06,M-D-Tim.png,0.88,critical,list1,list1_2,list1_R,Glenn didn't say that,Tim,liberal,,say,,0,33124,32,D,0.98,2,capitol_uprising,,R,
3977,default,the rich are taxed too little,F,0.51,block2,0.77,0.53,0.71,F-R-Lily.png,0.96,MC,list1,list1_2,list1_R,NA,Lily,liberal,,NA,,0.14,38048,33,R,0.85,2,taxes,,R,
3977,default,there are too many environmental laws,F,0.8,block2,0.98,0.8,0.64,F-D-Rachel.png,0.78,itIsT_F,list1,list1_2,list1_R,NA,Rachel,conservative,,NA,,0,26592,34,D,0.66,2,environment,,R,
3977,default,Trump handled the pandemic badly,M,0.78,block2,0.97,0.74,0.04,M-D-Daniel.png,0.89,critical,list1,list1_2,list1_R,Danny isn't annoyed that,Daniel,liberal,,be_annoyed,,0,31242,35,D,0.96,2,Trump_pandemic,,R,
3977,default,there are too few restrictions on welfare benefits,M,0.78,block2,0.66,0.8,0.03,M-R-Eric.png,0.88,itIsT_F,list1,list1_2,list1_R,NA,Eric,conservative,,NA,,0.31,32478,36,R,0.32,2,welfare,,R,
3977,default,medicaid is overfunded,M,,block3,,,,M-R-Michael.png,,critical,list1,list1_2,list1_R,Allison didn't confess that,Michael,conservative,,confess,0.99,,24164,38,R,,2,medicaid,NA,R,
3977,default,the minimum wage is too high,F,,block3,,,,F-D-Lisa.png,,critical,list1,list1_2,list1_R,Ken didn't admit that,Lisa,conservative,,admit,0.98,,14249,39,D,,2,minimum_wage,NA,R,
3977,default,there are too few restrictions on welfare benefits,M,,block3,,,,M-R-Eric.png,,itIsT_F,list1,list1_2,list1_R,NA,Eric,conservative,,NA,0.32,,17405,40,R,,2,welfare,false,R,
3977,default,the fundraiser was postponed,M,,block3,,,,M-D-John.png,,critical,list1,list1_2,list1_R,Liam isn't annoyed that,John,N,,be_annoyed,0.99,,20155,41,D,,2,fundraiser,NA,R,
3977,default,the previous meeting minutes were sent,F,,block3,,,,F-D-Michelle.png,,critical,list1,list1_2,list1_R,Ethan didn't admit that,Michelle,N,,admit,0.48,,12195,42,D,,2,minutes,NA,R,
3977,default,the uprising at the Capitol was domestic terrorism,M,,block3,,,,M-D-Tim.png,,critical,list1,list1_2,list1_R,Glenn didn't say that,Tim,liberal,,say,0.91,,9749,43,D,,2,capitol_uprising,NA,R,
3977,default,Trump's policies damaged the American economy,F,,block3,,,,F-D-Anna.png,,critical,list1,list1_2,list1_R,Tony didn't admit that,Anna,liberal,,admit,0.98,,8344,44,D,,2,Trump_economy,NA,R,
3977,default,it is too easy to get an abortion,F,,block3,,,,F-R-Sarah.png,,critical,list1,list1_2,list1_R,Grace doesn't know that,Sarah,conservative,,know,0.7,,8201,45,R,,2,abortion,NA,R,
3977,default,the next event was rescheduled,F,,block3,,,,F-D-Helen.png,,critical,list1,list1_2,list1_R,Noah didn't say that,Helen,N,,say,0.52,,9710,46,D,,2,next_event,NA,R,
3977,default,closing businesses during COVID was necessary,F,,block3,,,,F-D-Veronica.png,,MC,list1,list1_2,list1_R,NA,Veronica,liberal,,NA,0.94,,7499,47,D,,2,lockdown,NA,R,
3977,default,Trump handled the pandemic badly,M,,block3,,,,M-D-Daniel.png,,critical,list1,list1_2,list1_R,Danny isn't annoyed that,Daniel,liberal,,be_annoyed,0.98,,11375,48,D,,2,Trump_pandemic,NA,R,
3977,default,the rich are taxed too little,F,,block3,,,,F-R-Lily.png,,MC,list1,list1_2,list1_R,NA,Lily,liberal,,NA,0.98,,5601,49,R,,2,taxes,NA,R,
3977,default,the 2020 election was rigged,M,,block3,,,,M-R-Ryan.png,,critical,list1,list1_2,list1_R,Jen didn't suggest that,Ryan,conservative,,suggest,0.25,,8263,50,R,,2,2020_election,NA,R,
3977,default,the registration due date is next week,M,,block3,,,,M-R-Joseph.png,,critical,list1,list1_2,list1_R,Leah didn't confess that,Joseph,N,,confess,0.88,,13297,51,R,,2,registration,NA,R,
3977,default,immigrants steal jobs from Americans,M,,block3,,,,M-D-James.png,,critical,list1,list1_2,list1_R,Ben isn't annoyed that,James,conservative,,be_annoyed,0.83,,11225,52,D,,2,immigrants,NA,R,
3977,default,there are too many environmental laws,F,,block3,,,,F-D-Rachel.png,,itIsT_F,list1,list1_2,list1_R,NA,Rachel,conservative,,NA,0.96,,9961,53,D,,2,environment,true,R,
3977,default,the military is overfunded,F,,block3,,,,F-R-Kimberly.png,,critical,list1,list1_2,list1_R,Emma didn't suggest that,Kimberly,liberal,,suggest,0.46,,20462,54,R,,2,military,NA,R,
3977,default,it is too difficult to buy guns,F,,block3,,,,F-D-Elizabeth.png,,critical,list1,list1_2,list1_R,Owen didn't say that,Elizabeth,conservative,,say,0.22,,14576,55,D,,2,gun_laws,NA,R,
3977,default,the event started late,F,,block3,,,,F-R-Amy.png,,critical,list1,list1_2,list1_R,Amelia doesn't know that,Amy,N,,know,1,,15656,56,R,,2,late,NA,R,
3977,default,COVID is a dangerous virus,F,,block3,,,,F-R-Donna.png,,critical,list1,list1_2,list1_R,Mary doesn't know that,Donna,liberal,,know,0.98,,6937,57,R,,2,COVID,NA,R,
3977,default,mask mandates are necessary,M,,block3,,,,M-R-Anthony.png,,critical,list1,list1_2,list1_R,Wendy didn't confess that,Anthony,liberal,,confess,0.66,,8118,58,R,,2,masks,NA,R,
3977,default,there are fewer participants this week,M,,block3,,,,M-R-Jason.png,,critical,list1,list1_2,list1_R,Chloe didn't suggest that,Jason,N,,suggest,0.27,,9467,59,R,,2,participants,NA,R,
3863,default,COVID is an overhyped virus,F,,block1,,,,F-R-Amy.png,,critical,list2,list2_2,list2_R,Mary didn't say that,Amy,conservative,0.12,say,,,6905,4,R,,2,COVID,,R,
3863,default,closing businesses during COVID was unnecessary,F,,block1,,,,F-D-Veronica.png,,MC,list2,list2_2,list2_R,NA,Veronica,conservative,0.21,NA,,,9749,5,D,,2,lockdown,,R,
3863,default,the 2020 election was legitimate,F,,block1,,,,F-R-Sarah.png,,critical,list2,list2_2,list2_R,Jen doesn't know that,Sarah,liberal,0.91,know,,,4171,6,R,,2,2020_election,,R,
3863,default,it is too hard to get an abortion,F,,block1,,,,F-R-Kimberly.png,,critical,list2,list2_2,list2_R,Grace didn't say that,Kimberly,liberal,0.78,say,,,7668,7,R,,2,abortion,,R,
3863,default,the rich are taxed too much,F,,block1,,,,F-R-Lily.png,,MC,list2,list2_2,list2_R,NA,Lily,conservative,0.15,NA,,,3728,8,R,,2,taxes,,R,
3863,default,immigrants support the economy,M,,block1,,,,M-D-Tim.png,,critical,list2,list2_2,list2_R,Ben didn't acknowledge,Tim,liberal,0.63,acknowledge,,,5687,9,D,,2,immigrants,,R,
3863,default,the minimum wage is too low,F,,block1,,,,F-D-Helen.png,,critical,list2,list2_2,list2_R,Ken doesn't think that,Helen,liberal,0.59,think,,,4632,10,D,,2,minimum_wage,,R,
3863,default,the military is underfunded,M,,block1,,,,M-R-Jason.png,,critical,list2,list2_2,list2_R,Emma doesn't know that,Jason,conservative,0.26,know,,,2716,11,R,,2,military,,R,
3863,default,mask mandates are unnecessary,M,,block1,,,,M-R-Anthony.png,,critical,list2,list2_2,list2_R,Wendy didn't pretend that,Anthony,conservative,0.2,pretend,,,3295,12,R,,2,masks,,R,
3863,default,the capital of the US is in Ohio,NA,,block1,,,,NA.png,,O,list2,list2_2,list2_R,NA,NA,NA,0,NA,,,4777,13,NA,,2,capital,,R,
3863,default,U.S. presidential elections are held in November,NA,,block1,,,,NA.png,,O,list2,list2_2,list2_R,NA,NA,NA,1,NA,,,3432,14,NA,,2,elections,,R,
3863,default,it is too easy to buy guns,M,,block1,,,,M-D-Daniel.png,,critical,list2,list2_2,list2_R,Owen didn't admit that,Daniel,liberal,0.74,admit,,,10143,15,D,,2,gun_laws,,R,
3863,default,the uprising at the Capitol was patriotic,F,,block1,,,,F-D-Anna.png,,critical,list2,list2_2,list2_R,Glenn didn't admit that,Anna,conservative,0,admit,,,3792,16,D,,2,capitol_uprising,,R,
3863,default,Trump's policies improved the American economy,F,,block1,,,,F-D-Lisa.png,,critical,list2,list2_2,list2_R,Tony doesn't think that,Lisa,conservative,0.22,think,,,6837,17,D,,2,Trump_economy,,R,
3863,default,medicaid is underfunded,M,,block1,,,,M-R-Joseph.png,,critical,list2,list2_2,list2_R,Allison didn't pretend that,Joseph,liberal,0.8,pretend,,,2451,18,R,,2,medicaid,,R,
3863,default,Trump handled the pandemic well,M,,block1,,,,M-D-James.png,,critical,list2,list2_2,list2_R,Danny didn't acknowledge,James,conservative,0,acknowledge,,,2282,19,D,,2,Trump_pandemic,,R,
3863,default,mask mandates are unnecessary,M,0.87,block2,0.01,0.39,0.27,M-R-Anthony.png,0.5,critical,list2,list2_2,list2_R,Wendy didn't pretend that,Anthony,conservative,,pretend,,0.99,28868,21,R,0.76,2,masks,,R,
3863,default,there are too few environmental laws,F,0.61,block2,0.97,0.73,0.6,F-D-Rachel.png,0.5,itIsT_F,list2,list2_2,list2_R,NA,Rachel,liberal,,NA,,0,19935,22,D,0.77,2,environment,,R,
3863,default,COVID is an overhyped virus,F,0.54,block2,0,0.46,0.42,F-R-Amy.png,0.53,critical,list2,list2_2,list2_R,Mary didn't say that,Amy,conservative,,say,,0.99,32925,23,R,0.74,2,COVID,,R,
3863,default,immigrants support the economy,M,0.52,block2,1,0.63,0.44,M-D-Tim.png,0.59,critical,list2,list2_2,list2_R,Ben didn't acknowledge,Tim,liberal,,acknowledge,,0,22704,24,D,0.72,2,immigrants,,R,
3863,default,the military is underfunded,M,0.57,block2,0.01,0.56,0.18,M-R-Jason.png,0.51,critical,list2,list2_2,list2_R,Emma doesn't know that,Jason,conservative,,know,,0.98,30965,25,R,0.69,2,military,,R,
3863,default,the minimum wage is too low,F,0.64,block2,1,0.69,0.71,F-D-Helen.png,0.72,critical,list2,list2_2,list2_R,Ken doesn't think that,Helen,liberal,,think,,0,18136,26,D,0.85,2,minimum_wage,,R,
3863,default,the rich are taxed too much,F,0.28,block2,0.03,0.36,0.66,F-R-Lily.png,0.51,MC,list2,list2_2,list2_R,NA,Lily,conservative,,NA,,0.98,23172,27,R,0.73,2,taxes,,R,
