"workerid","proliferate.condition.x","SpeakerGender","list","list_firstSocCond","name","response","rt","slide_number_in_experiment","socialCondition","socialInfo","socialInfo_code","trigger_class","whichSocConditionFirst","error.x","proliferate.condition.y","about","accent","age","american","comments","education","gender","income","language","otherParty","party","politics","race_asian","race_black","race_hawaiian","race_latino","race_native","race_otherRaceCheck","race_otherRaceText","race_white","state","whichAccent","error.y","trial"
3642,"default","M","list2","list2-D","Christopher",0.4,6934,14,"R","southern","S","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,11
3642,"default","M","list2","list2-D","Daniel",0.02,6431,15,"R","non-southern","N","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,12
3642,"default","M","list2","list2-D","Anthony",0.35,10494,16,"D","southern","S","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,13
3642,"default","M","list2","list2-D","Jason",0.75,12311,17,"D","southern","S","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,14
3642,"default","F","list2","list2-D","Angela",0.03,6623,18,"R","southern","S","Empty","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,15
3642,"default","F","list2","list2-D","Michelle",0.01,8215,19,"R","non-southern","N","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,16
3642,"default","M","list2","list2-D","John",0.99,6462,20,"D","non-southern","N","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,17
3642,"default","F","list2","list2-D","Stephanie",0.99,5863,21,"R","Republican","R","Party","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,18
3642,"default","F","list2","list2-D","Emma",0.23,6855,22,"R","southern","S","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,19
3642,"default","F","list2","list2-D","Anna",0.3,5311,23,"R","non-southern","N","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,20
3642,"default","F","list2","list2-D","Kimberly",0.44,11871,24,"D","southern","S","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,21
3642,"default","M","list2","list2-D","Patrick",0.02,5783,25,"D","Republican","R","Party","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,22
3642,"default","M","list2","list2-D","James",0.99,12663,26,"D","non-southern","N","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,23
3642,"default","F","list2","list2-D","Amy",0.69,7215,27,"D","southern","S","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,24
3643,"default","M","list2","list2-D","Christopher",0.51,12015,4,"R","southern","S","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,1
3643,"default","M","list2","list2-D","John",0.51,3586,5,"D","non-southern","N","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,2
3643,"default","F","list2","list2-D","Angela",0.49,4443,6,"R","southern","S","Empty","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,3
3643,"default","M","list2","list2-D","Patrick",0.02,5636,7,"D","Republican","R","Party","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,4
3643,"default","M","list2","list2-D","Eric",0.51,4942,8,"D","non-southern","N","Empty","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,5
3643,"default","M","list2","list2-D","Anthony",0.5,3536,9,"D","southern","S","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,6
3643,"default","F","list2","list2-D","Anna",0.5,3148,10,"R","non-southern","N","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,7
3643,"default","M","list2","list2-D","Justin",0.98,2996,11,"D","Democrat","D","Party","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,8
3643,"default","M","list2","list2-D","Jeff",0.51,2931,12,"D","southern","S","Empty","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,9
3643,"default","M","list2","list2-D","Paul",0.51,2982,13,"R","southern","S","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,10
3643,"default","F","list2","list2-D","Emma",0.5,2686,14,"R","southern","S","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,11
3643,"default","F","list2","list2-D","Kimberly",0.51,3081,15,"D","southern","S","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,12
3643,"default","M","list2","list2-D","Kenneth",0.5,3138,16,"R","non-southern","N","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,13
3643,"default","M","list2","list2-D","Daniel",0.48,2054,17,"R","non-southern","N","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,14
3643,"default","F","list2","list2-D","Jennifer",0.5,2824,18,"D","non-southern","N","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,15
3643,"default","F","list2","list2-D","Stephanie",0.99,3238,19,"R","Republican","R","Party","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,16
3643,"default","F","list2","list2-D","Rebecca",0.51,2665,20,"R","non-southern","N","Empty","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,17
3643,"default","F","list2","list2-D","Amy",0.49,2015,21,"D","southern","S","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,18
3643,"default","F","list2","list2-D","Amanda",0.01,3518,22,"R","Democrat","D","Party","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,19
3643,"default","M","list2","list2-D","Jason",0.5,2932,23,"D","southern","S","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,20
3643,"default","M","list2","list2-D","James",0.5,2081,24,"D","non-southern","N","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,21
3643,"default","F","list2","list2-D","Ashley",0.5,2587,25,"R","southern","S","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,22
3643,"default","F","list2","list2-D","Michelle",0.5,2709,26,"R","non-southern","N","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,23
3643,"default","F","list2","list2-D","Helen",0.5,2350,27,"D","non-southern","N","C","D",NA,"default",NA,"No",22,"Yes",NA,2,"Other",0,NA,NA,"Dem",0.02,0,0,0,0,0,0,NA,1,"VT",NA,NA,24
3644,"default","F","list2","list2-R","Jennifer",0.39,13716,4,"R","non-southern","N","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,1
3644,"default","M","list2","list2-R","Eric",0.74,4613,5,"R","non-southern","N","Empty","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,2
3644,"default","M","list2","list2-R","Daniel",0.98,6756,6,"D","non-southern","N","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,3
3644,"default","M","list2","list2-R","Kenneth",0.25,6570,7,"D","non-southern","N","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,4
3644,"default","F","list2","list2-R","Ashley",0.26,5033,8,"D","southern","S","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,5
3644,"default","F","list2","list2-R","Emma",0.37,9594,9,"D","southern","S","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,6
3644,"default","F","list2","list2-R","Anna",0.75,5261,10,"D","non-southern","N","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,7
3644,"default","M","list2","list2-R","Paul",0.47,6036,11,"D","southern","S","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,8
3644,"default","F","list2","list2-R","Stephanie",0.01,6810,12,"D","Republican","R","Party","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,9
3644,"default","F","list2","list2-R","Kimberly",0.91,3921,13,"R","southern","S","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,10
3644,"default","M","list2","list2-R","James",0.08,3120,14,"R","non-southern","N","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,11
3644,"default","M","list2","list2-R","John",0.15,3674,15,"R","non-southern","N","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,12
3644,"default","F","list2","list2-R","Rebecca",0.36,5656,16,"D","non-southern","N","Empty","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,13
3644,"default","F","list2","list2-R","Michelle",0.53,8552,17,"D","non-southern","N","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,14
3644,"default","M","list2","list2-R","Jeff",0.51,3976,18,"R","southern","S","Empty","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,15
3644,"default","F","list2","list2-R","Amy",0.65,7974,19,"R","southern","S","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,16
3644,"default","M","list2","list2-R","Patrick",0.98,8255,20,"R","Republican","R","Party","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,17
3644,"default","F","list2","list2-R","Amanda",0.98,8414,21,"D","Democrat","D","Party","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,18
3644,"default","M","list2","list2-R","Justin",0.01,4812,22,"R","Democrat","D","Party","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,19
3644,"default","M","list2","list2-R","Jason",0.8,6871,23,"R","southern","S","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,20
3644,"default","F","list2","list2-R","Angela",0.64,4255,24,"D","southern","S","Empty","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,21
3644,"default","F","list2","list2-R","Helen",0.05,4814,25,"R","non-southern","N","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,22
3644,"default","M","list2","list2-R","Anthony",0.82,4887,26,"R","southern","S","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,23
3644,"default","M","list2","list2-R","Christopher",0.37,2988,27,"D","southern","S","C","R",NA,"default","political parties","No",20,"Yes",NA,2,"Female",7,"none",NA,"Rep",0.69,0,0,0,0,0,0,NA,1,"KY","none",NA,24
3646,"default","F","list2","list2-R","Stephanie",0,29785,4,"D","Republican","R","Party","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,1
3646,"default","F","list2","list2-R","Anna",0.62,24650,5,"D","non-southern","N","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,2
3646,"default","F","list2","list2-R","Amy",0.37,10843,6,"R","southern","S","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,3
3646,"default","F","list2","list2-R","Angela",0.2,8989,7,"D","southern","S","Empty","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,4
3646,"default","M","list2","list2-R","Paul",0.54,13591,8,"D","southern","S","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,5
3646,"default","M","list2","list2-R","Jeff",0.22,10442,9,"R","southern","S","Empty","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,6
3646,"default","F","list2","list2-R","Amanda",1,5621,10,"D","Democrat","D","Party","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,7
3646,"default","F","list2","list2-R","Kimberly",0.33,9425,11,"R","southern","S","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,8
3646,"default","M","list2","list2-R","Justin",0.01,8606,12,"R","Democrat","D","Party","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,9
3646,"default","M","list2","list2-R","John",0.12,39899,13,"R","non-southern","N","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,10
3646,"default","F","list2","list2-R","Rebecca",0.66,6635,14,"D","non-southern","N","Empty","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,11
3646,"default","F","list2","list2-R","Emma",0.59,10769,15,"D","southern","S","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,12
3646,"default","M","list2","list2-R","Patrick",0.99,7918,16,"R","Republican","R","Party","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,13
3646,"default","M","list2","list2-R","Kenneth",0.25,11937,17,"D","non-southern","N","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,14
3646,"default","F","list2","list2-R","Michelle",0.66,13814,18,"D","non-southern","N","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,15
3646,"default","M","list2","list2-R","Daniel",0.73,11645,19,"D","non-southern","N","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,16
3646,"default","M","list2","list2-R","Eric",0.81,8761,20,"R","non-southern","N","Empty","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,17
3646,"default","F","list2","list2-R","Ashley",0.16,10787,21,"D","southern","S","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,18
3646,"default","M","list2","list2-R","Christopher",0.74,12850,22,"D","southern","S","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,19
3646,"default","M","list2","list2-R","Jason",0.7,13334,23,"R","southern","S","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,20
3646,"default","F","list2","list2-R","Jennifer",0.65,59394,24,"R","non-southern","N","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,21
3646,"default","M","list2","list2-R","Anthony",0.89,15833,25,"R","southern","S","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,22
3646,"default","F","list2","list2-R","Helen",0.07,7987,26,"R","non-southern","N","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,23
3646,"default","M","list2","list2-R","James",0.17,8568,27,"R","non-southern","N","C","R",NA,"default","assumptions of people, based on age where they are from and looks","No",19,"Yes",NA,2,"Female",0,NA,NA,"Dem",0.13,0,0,0,0,0,0,NA,1,"MT",NA,NA,24
3647,"default","M","list1","list1-R","Eric",0.62,17276,4,"R","non-southern","N","Empty","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,1
3647,"default","M","list1","list1-R","Scott",0.67,6832,5,"D","non-southern","N","C","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,2
3647,"default","F","list1","list1-R","Lisa",0.89,9832,6,"D","non-southern","N","C","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,3
3647,"default","F","list1","list1-R","Rachel",0.91,5680,7,"R","southern","S","C","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,4
3647,"default","M","list1","list1-R","Andrew",1,5040,8,"R","southern","S","C","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,5
3647,"default","F","list1","list1-R","Rebecca",0.27,4440,9,"D","non-southern","N","Empty","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,6
3647,"default","M","list1","list1-R","Tim",0.16,4784,10,"R","non-southern","N","C","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,7
3647,"default","M","list1","list1-R","William",0.73,8064,11,"D","non-southern","N","C","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,8
3647,"default","M","list1","list1-R","Joseph",0.97,4383,12,"R","southern","S","C","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,9
3647,"default","F","list1","list1-R","Emily",0,3295,13,"R","non-southern","N","C","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,10
3647,"default","F","list1","list1-R","Stephanie",0,7296,14,"D","Republican","R","Party","R",NA,"default","Prejudices with judging people based on where they are from and their appearance.","No",21,"Yes","None",2,"Female",0,"None",NA,"Dem",0.03,0,0,0,0,0,0,NA,1,"WA","None",NA,11
